radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,372436137.9534325,9534414.787931299,Nonlinear IPPP
3484.1920073242018,425990834.2861146,38137659.151725195,Nonlinear IPPP
5226.288010986304,472699491.61154515,85809733.09138171,Nonlinear IPPP
6968.384014648404,534871130.920473,152550636.60690084,Nonlinear IPPP
8710.480018310505,609254436.2895722,238360369.69828254,Nonlinear IPPP
10452.576021972607,696664613.0001316,343238932.36552685,Nonlinear IPPP
12194.672025634707,826881729.342536,467186324.6086337,Nonlinear IPPP
13936.768029296807,926757525.0079699,610202546.4276031,Nonlinear IPPP
15678.86403295891,1060366679.0967268,772287597.8224355,Nonlinear IPPP
17420.96003662101,1232929954.4037592,953441478.7931302,Nonlinear IPPP
19163.05604028311,1378634022.631045,1153664189.3396873,Nonlinear IPPP
20905.15204394521,1531347466.7509007,1372955729.462107,Nonlinear IPPP
22647.248047607314,1689916662.4210722,1611316099.1603901,Nonlinear IPPP
24389.344051269414,1874161632.4448266,1868745298.4345348,Nonlinear IPPP
26131.440054931514,2032904275.0866253,2145243327.2845426,Nonlinear IPPP
27873.536058593618,2195717811.402256,2440810185.7104135,Nonlinear IPPP
29615.632062255718,2343522449.3977804,2755445873.712146,Nonlinear IPPP
31357.728065917818,2646093241.356752,3089150391.2897415,Nonlinear IPPP
33099.824069579925,2953649796.0306573,3441923738.4432006,Nonlinear IPPP
34841.92007324202,3186780170.1614943,3813765915.1725206,Nonlinear IPPP
36584.016076904125,3426130276.2125883,4204676921.4777045,Nonlinear IPPP
38326.11208056623,3679590176.1172233,4614656757.358751,Nonlinear IPPP
40068.208084228325,3865092870.8624177,5043705422.815659,Nonlinear IPPP
41810.30408789043,4136275339.482129,5491822917.84843,Nonlinear IPPP
43552.40009155253,4530278420.367535,5959009242.457065,Nonlinear IPPP
45294.49609521463,4777178348.014695,6445264396.641561,Nonlinear IPPP
47036.59209887673,5011169775.078728,6950588380.40192,Nonlinear IPPP
48778.688102538836,5293903063.892171,7474981193.738142,Nonlinear IPPP
50520.78410620093,5526831851.112637,8018442836.650225,Nonlinear IPPP
52262.880109863036,5765049268.32484,8580973309.138172,Nonlinear IPPP
54004.97611352514,6011019570.979897,9162572611.201982,Nonlinear IPPP
55747.072117187236,6236951728.354783,9763240742.841654,Nonlinear IPPP
57489.16812084934,6523388808.964613,10382977704.057188,Nonlinear IPPP
59231.26412451144,6812981806.574496,11021783494.848587,Nonlinear IPPP
60973.36012817354,7076066899.870335,11679658115.215843,Nonlinear IPPP
62715.45613183564,7423401503.436959,12356601565.158968,Nonlinear IPPP
64457.552135497746,7708543272.1743145,13052613844.677954,Nonlinear IPPP
66199.64813915984,7985560024.325946,13767694953.772797,Nonlinear IPPP
67941.74414282193,8313952988.663092,14501844892.443506,Nonlinear IPPP
69683.84014648404,8632520719.231382,15255063660.690083,Nonlinear IPPP
71425.93615014614,8860041508.586796,16027351258.512516,Nonlinear IPPP
73168.03215380824,9153654462.679647,16818707685.91081,Nonlinear IPPP
74910.12815747035,9420005242.020655,17629132942.884975,Nonlinear IPPP
76652.22416113244,9651090926.244247,18458627029.434998,Nonlinear IPPP
78394.32016479454,9853503397.515518,19307189945.56088,Nonlinear IPPP
80136.41616845665,10172910725.081045,20174821691.262634,Nonlinear IPPP
81878.51217211875,10411251874.6861,21061522266.54024,Nonlinear IPPP
83620.60817578084,10649419608.71191,21967291671.39371,Nonlinear IPPP
85362.70417944295,10904835513.869093,22892129905.823055,Nonlinear IPPP
87104.80018310505,11157485728.567884,23836036969.828247,Nonlinear IPPP
