simulation,total_count,observed_total,expected_total,model
1,772,825,785.1686739489737,Nonlinear IPPP
2,802,825,785.1686739489737,Nonlinear IPPP
3,775,825,785.1686739489737,Nonlinear IPPP
4,751,825,785.1686739489737,Nonlinear IPPP
5,806,825,785.1686739489737,Nonlinear IPPP
6,753,825,785.1686739489737,Nonlinear IPPP
7,795,825,785.1686739489737,Nonlinear IPPP
8,801,825,785.1686739489737,Nonlinear IPPP
9,811,825,785.1686739489737,Nonlinear IPPP
10,737,825,785.1686739489737,Nonlinear IPPP
11,773,825,785.1686739489737,Nonlinear IPPP
12,781,825,785.1686739489737,Nonlinear IPPP
13,774,825,785.1686739489737,Nonlinear IPPP
14,769,825,785.1686739489737,Nonlinear IPPP
15,767,825,785.1686739489737,Nonlinear IPPP
16,765,825,785.1686739489737,Nonlinear IPPP
17,827,825,785.1686739489737,Nonlinear IPPP
18,784,825,785.1686739489737,Nonlinear IPPP
19,749,825,785.1686739489737,Nonlinear IPPP
20,798,825,785.1686739489737,Nonlinear IPPP
21,746,825,785.1686739489737,Nonlinear IPPP
22,817,825,785.1686739489737,Nonlinear IPPP
23,815,825,785.1686739489737,Nonlinear IPPP
24,761,825,785.1686739489737,Nonlinear IPPP
25,702,825,785.1686739489737,Nonlinear IPPP
26,781,825,785.1686739489737,Nonlinear IPPP
27,758,825,785.1686739489737,Nonlinear IPPP
28,799,825,785.1686739489737,Nonlinear IPPP
29,787,825,785.1686739489737,Nonlinear IPPP
30,829,825,785.1686739489737,Nonlinear IPPP
31,764,825,785.1686739489737,Nonlinear IPPP
32,758,825,785.1686739489737,Nonlinear IPPP
33,737,825,785.1686739489737,Nonlinear IPPP
34,770,825,785.1686739489737,Nonlinear IPPP
35,795,825,785.1686739489737,Nonlinear IPPP
36,764,825,785.1686739489737,Nonlinear IPPP
37,749,825,785.1686739489737,Nonlinear IPPP
38,763,825,785.1686739489737,Nonlinear IPPP
39,773,825,785.1686739489737,Nonlinear IPPP
40,779,825,785.1686739489737,Nonlinear IPPP
41,826,825,785.1686739489737,Nonlinear IPPP
42,787,825,785.1686739489737,Nonlinear IPPP
43,770,825,785.1686739489737,Nonlinear IPPP
44,808,825,785.1686739489737,Nonlinear IPPP
45,803,825,785.1686739489737,Nonlinear IPPP
46,758,825,785.1686739489737,Nonlinear IPPP
47,793,825,785.1686739489737,Nonlinear IPPP
48,745,825,785.1686739489737,Nonlinear IPPP
49,790,825,785.1686739489737,Nonlinear IPPP
50,797,825,785.1686739489737,Nonlinear IPPP
51,745,825,785.1686739489737,Nonlinear IPPP
52,789,825,785.1686739489737,Nonlinear IPPP
53,788,825,785.1686739489737,Nonlinear IPPP
54,782,825,785.1686739489737,Nonlinear IPPP
55,814,825,785.1686739489737,Nonlinear IPPP
56,758,825,785.1686739489737,Nonlinear IPPP
57,711,825,785.1686739489737,Nonlinear IPPP
58,736,825,785.1686739489737,Nonlinear IPPP
59,777,825,785.1686739489737,Nonlinear IPPP
60,777,825,785.1686739489737,Nonlinear IPPP
61,759,825,785.1686739489737,Nonlinear IPPP
62,769,825,785.1686739489737,Nonlinear IPPP
63,725,825,785.1686739489737,Nonlinear IPPP
64,785,825,785.1686739489737,Nonlinear IPPP
65,805,825,785.1686739489737,Nonlinear IPPP
66,717,825,785.1686739489737,Nonlinear IPPP
67,769,825,785.1686739489737,Nonlinear IPPP
68,771,825,785.1686739489737,Nonlinear IPPP
69,757,825,785.1686739489737,Nonlinear IPPP
70,731,825,785.1686739489737,Nonlinear IPPP
71,830,825,785.1686739489737,Nonlinear IPPP
72,784,825,785.1686739489737,Nonlinear IPPP
73,779,825,785.1686739489737,Nonlinear IPPP
74,766,825,785.1686739489737,Nonlinear IPPP
75,788,825,785.1686739489737,Nonlinear IPPP
76,786,825,785.1686739489737,Nonlinear IPPP
77,795,825,785.1686739489737,Nonlinear IPPP
78,743,825,785.1686739489737,Nonlinear IPPP
79,775,825,785.1686739489737,Nonlinear IPPP
80,773,825,785.1686739489737,Nonlinear IPPP
