simulation,total_count,observed_total,expected_total,model
1,830,825,866.2913553411099,Linear IPPP
2,824,825,866.2913553411099,Linear IPPP
3,882,825,866.2913553411099,Linear IPPP
4,866,825,866.2913553411099,Linear IPPP
5,865,825,866.2913553411099,Linear IPPP
6,864,825,866.2913553411099,Linear IPPP
7,832,825,866.2913553411099,Linear IPPP
8,890,825,866.2913553411099,Linear IPPP
9,857,825,866.2913553411099,Linear IPPP
10,896,825,866.2913553411099,Linear IPPP
11,926,825,866.2913553411099,Linear IPPP
12,831,825,866.2913553411099,Linear IPPP
13,851,825,866.2913553411099,Linear IPPP
14,867,825,866.2913553411099,Linear IPPP
15,802,825,866.2913553411099,Linear IPPP
16,893,825,866.2913553411099,Linear IPPP
17,918,825,866.2913553411099,Linear IPPP
18,862,825,866.2913553411099,Linear IPPP
19,879,825,866.2913553411099,Linear IPPP
20,866,825,866.2913553411099,Linear IPPP
21,844,825,866.2913553411099,Linear IPPP
22,854,825,866.2913553411099,Linear IPPP
23,909,825,866.2913553411099,Linear IPPP
24,861,825,866.2913553411099,Linear IPPP
25,837,825,866.2913553411099,Linear IPPP
26,882,825,866.2913553411099,Linear IPPP
27,870,825,866.2913553411099,Linear IPPP
28,856,825,866.2913553411099,Linear IPPP
29,903,825,866.2913553411099,Linear IPPP
30,889,825,866.2913553411099,Linear IPPP
31,821,825,866.2913553411099,Linear IPPP
32,808,825,866.2913553411099,Linear IPPP
33,888,825,866.2913553411099,Linear IPPP
34,921,825,866.2913553411099,Linear IPPP
35,898,825,866.2913553411099,Linear IPPP
36,842,825,866.2913553411099,Linear IPPP
37,907,825,866.2913553411099,Linear IPPP
38,842,825,866.2913553411099,Linear IPPP
39,907,825,866.2913553411099,Linear IPPP
40,859,825,866.2913553411099,Linear IPPP
41,909,825,866.2913553411099,Linear IPPP
42,867,825,866.2913553411099,Linear IPPP
43,846,825,866.2913553411099,Linear IPPP
44,869,825,866.2913553411099,Linear IPPP
45,851,825,866.2913553411099,Linear IPPP
46,851,825,866.2913553411099,Linear IPPP
47,866,825,866.2913553411099,Linear IPPP
48,884,825,866.2913553411099,Linear IPPP
49,865,825,866.2913553411099,Linear IPPP
50,883,825,866.2913553411099,Linear IPPP
51,860,825,866.2913553411099,Linear IPPP
52,891,825,866.2913553411099,Linear IPPP
53,827,825,866.2913553411099,Linear IPPP
54,849,825,866.2913553411099,Linear IPPP
55,869,825,866.2913553411099,Linear IPPP
56,909,825,866.2913553411099,Linear IPPP
57,838,825,866.2913553411099,Linear IPPP
58,854,825,866.2913553411099,Linear IPPP
59,856,825,866.2913553411099,Linear IPPP
60,909,825,866.2913553411099,Linear IPPP
61,899,825,866.2913553411099,Linear IPPP
62,898,825,866.2913553411099,Linear IPPP
63,876,825,866.2913553411099,Linear IPPP
64,893,825,866.2913553411099,Linear IPPP
65,889,825,866.2913553411099,Linear IPPP
66,837,825,866.2913553411099,Linear IPPP
67,889,825,866.2913553411099,Linear IPPP
68,870,825,866.2913553411099,Linear IPPP
69,845,825,866.2913553411099,Linear IPPP
70,844,825,866.2913553411099,Linear IPPP
71,849,825,866.2913553411099,Linear IPPP
72,854,825,866.2913553411099,Linear IPPP
73,894,825,866.2913553411099,Linear IPPP
74,838,825,866.2913553411099,Linear IPPP
75,829,825,866.2913553411099,Linear IPPP
76,895,825,866.2913553411099,Linear IPPP
77,911,825,866.2913553411099,Linear IPPP
78,878,825,866.2913553411099,Linear IPPP
79,809,825,866.2913553411099,Linear IPPP
80,819,825,866.2913553411099,Linear IPPP
81,870,825,866.2913553411099,Linear IPPP
82,861,825,866.2913553411099,Linear IPPP
83,922,825,866.2913553411099,Linear IPPP
84,843,825,866.2913553411099,Linear IPPP
85,859,825,866.2913553411099,Linear IPPP
86,845,825,866.2913553411099,Linear IPPP
87,840,825,866.2913553411099,Linear IPPP
88,855,825,866.2913553411099,Linear IPPP
89,894,825,866.2913553411099,Linear IPPP
90,857,825,866.2913553411099,Linear IPPP
91,840,825,866.2913553411099,Linear IPPP
92,872,825,866.2913553411099,Linear IPPP
93,882,825,866.2913553411099,Linear IPPP
94,920,825,866.2913553411099,Linear IPPP
95,855,825,866.2913553411099,Linear IPPP
