radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,579110006.8707029,9534414.787931299,Linear IPPP
3484.1920073242018,728267123.1616573,38137659.151725195,Linear IPPP
5226.288010986304,866807220.0445441,85809733.09138171,Linear IPPP
6968.384014648404,1154948407.1998842,152550636.60690084,Linear IPPP
8710.480018310505,1542320894.4843152,238360369.69828254,Linear IPPP
10452.576021972607,1946389147.1647522,343238932.36552685,Linear IPPP
12194.672025634707,2466072650.2398143,467186324.6086337,Linear IPPP
13936.768029296807,2935311125.3085823,610202546.4276031,Linear IPPP
15678.86403295891,3405221103.700714,772287597.8224355,Linear IPPP
17420.96003662101,4018025918.4185777,953441478.7931302,Linear IPPP
19163.05604028311,4601575142.574483,1153664189.3396873,Linear IPPP
20905.15204394521,5138017921.362428,1372955729.462107,Linear IPPP
22647.248047607314,5659266154.631999,1611316099.1603901,Linear IPPP
24389.344051269414,6243654999.374204,1868745298.4345348,Linear IPPP
26131.440054931514,6823416880.212201,2145243327.2845426,Linear IPPP
27873.536058593618,7396868127.582944,2440810185.7104135,Linear IPPP
29615.632062255718,8058019427.357131,2755445873.712146,Linear IPPP
31357.728065917818,8726570215.839659,3089150391.2897415,Linear IPPP
33099.824069579925,9436853934.294296,3441923738.4432006,Linear IPPP
34841.92007324202,10143598876.406935,3813765915.1725206,Linear IPPP
36584.016076904125,11022387419.958939,4204676921.4777045,Linear IPPP
38326.11208056623,11794075473.730011,4614656757.358751,Linear IPPP
40068.208084228325,12463654859.26803,5043705422.815659,Linear IPPP
41810.30408789043,13243967269.112534,5491822917.84843,Linear IPPP
43552.40009155253,14058624655.648602,5959009242.457065,Linear IPPP
45294.49609521463,14772696192.824804,6445264396.641561,Linear IPPP
47036.59209887673,15427049753.352541,6950588380.40192,Linear IPPP
48778.688102538836,16300644289.781172,7474981193.738142,Linear IPPP
50520.78410620093,16984214361.274027,8018442836.650225,Linear IPPP
52262.880109863036,17530010286.48848,8580973309.138172,Linear IPPP
54004.97611352514,18128188743.3878,9162572611.201982,Linear IPPP
55747.072117187236,18741663473.02375,9763240742.841654,Linear IPPP
57489.16812084934,19340193066.29239,10382977704.057188,Linear IPPP
59231.26412451144,20009962008.33747,11021783494.848587,Linear IPPP
60973.36012817354,20532293055.999218,11679658115.215843,Linear IPPP
62715.45613183564,21261453632.986954,12356601565.158968,Linear IPPP
64457.552135497746,21780145063.219868,13052613844.677954,Linear IPPP
66199.64813915984,22336700774.564972,13767694953.772797,Linear IPPP
67941.74414282193,22907601222.237335,14501844892.443506,Linear IPPP
69683.84014648404,23380748492.330677,15255063660.690083,Linear IPPP
71425.93615014614,23782339026.239136,16027351258.512516,Linear IPPP
73168.03215380824,24230712392.37419,16818707685.91081,Linear IPPP
74910.12815747035,24695232518.86181,17629132942.884975,Linear IPPP
76652.22416113244,25099377231.599365,18458627029.434998,Linear IPPP
78394.32016479454,25424364619.06423,19307189945.56088,Linear IPPP
80136.41616845665,25847189095.17169,20174821691.262634,Linear IPPP
81878.51217211875,26290439537.773506,21061522266.54024,Linear IPPP
83620.60817578084,26648867649.01531,21967291671.39371,Linear IPPP
85362.70417944295,27034577978.231834,22892129905.823055,Linear IPPP
87104.80018310505,27410447462.692886,23836036969.828247,Linear IPPP
