radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,911340327.3948792,9534414.787931299,Nonlinear IPPP
3484.1920073242018,1016030443.5265214,38137659.151725195,Nonlinear IPPP
5226.288010986304,1081739461.0811496,85809733.09138171,Nonlinear IPPP
6968.384014648404,1171493741.3367531,152550636.60690084,Nonlinear IPPP
8710.480018310505,1363129919.5955548,238360369.69828254,Nonlinear IPPP
10452.576021972607,1468915491.3656878,343238932.36552685,Nonlinear IPPP
12194.672025634707,1712226319.0630424,467186324.6086337,Nonlinear IPPP
13936.768029296807,1901204804.2153993,610202546.4276031,Nonlinear IPPP
15678.86403295891,2112987071.2882915,772287597.8224355,Nonlinear IPPP
17420.96003662101,2450916919.0142736,953441478.7931302,Nonlinear IPPP
19163.05604028311,2668972893.4864144,1153664189.3396873,Nonlinear IPPP
20905.15204394521,2914948715.4119334,1372955729.462107,Nonlinear IPPP
22647.248047607314,3209095851.8431597,1611316099.1603901,Nonlinear IPPP
24389.344051269414,3655342573.754891,1868745298.4345348,Nonlinear IPPP
26131.440054931514,3961816773.6486406,2145243327.2845426,Nonlinear IPPP
27873.536058593618,4252836058.459843,2440810185.7104135,Nonlinear IPPP
29615.632062255718,4498087220.038748,2755445873.712146,Nonlinear IPPP
31357.728065917818,5104500725.497447,3089150391.2897415,Nonlinear IPPP
33099.824069579925,5565284529.083051,3441923738.4432006,Nonlinear IPPP
34841.92007324202,5965585454.01982,3813765915.1725206,Nonlinear IPPP
36584.016076904125,6536711904.324495,4204676921.4777045,Nonlinear IPPP
38326.11208056623,7084854975.520644,4614656757.358751,Nonlinear IPPP
40068.208084228325,7407491485.952129,5043705422.815659,Nonlinear IPPP
41810.30408789043,7913363682.576313,5491822917.84843,Nonlinear IPPP
43552.40009155253,8958344988.082047,5959009242.457065,Nonlinear IPPP
45294.49609521463,9531710506.029934,6445264396.641561,Nonlinear IPPP
47036.59209887673,10029525701.117842,6950588380.40192,Nonlinear IPPP
48778.688102538836,10550559993.18741,7474981193.738142,Nonlinear IPPP
50520.78410620093,10981725187.568172,8018442836.650225,Nonlinear IPPP
52262.880109863036,11428248776.047527,8580973309.138172,Nonlinear IPPP
54004.97611352514,11888644092.794779,9162572611.201982,Nonlinear IPPP
55747.072117187236,12357340001.341806,9763240742.841654,Nonlinear IPPP
57489.16812084934,12921447078.529057,10382977704.057188,Nonlinear IPPP
59231.26412451144,13529101925.178154,11021783494.848587,Nonlinear IPPP
60973.36012817354,14134145723.153152,11679658115.215843,Nonlinear IPPP
62715.45613183564,14793464007.912262,12356601565.158968,Nonlinear IPPP
64457.552135497746,15310852106.947792,13052613844.677954,Nonlinear IPPP
66199.64813915984,15795393445.8862,13767694953.772797,Nonlinear IPPP
67941.74414282193,16478671531.531292,14501844892.443506,Nonlinear IPPP
69683.84014648404,16935732298.798807,15255063660.690083,Nonlinear IPPP
71425.93615014614,17461750569.330826,16027351258.512516,Nonlinear IPPP
73168.03215380824,18733947039.106796,16818707685.91081,Nonlinear IPPP
74910.12815747035,19213606639.63959,17629132942.884975,Nonlinear IPPP
76652.22416113244,20012773527.516003,18458627029.434998,Nonlinear IPPP
78394.32016479454,20420949890.948277,19307189945.56088,Nonlinear IPPP
80136.41616845665,22065597973.17719,20174821691.262634,Nonlinear IPPP
81878.51217211875,22527200703.372787,21061522266.54024,Nonlinear IPPP
83620.60817578084,23039180308.557194,21967291671.39371,Nonlinear IPPP
85362.70417944295,23756172077.061172,22892129905.823055,Nonlinear IPPP
87104.80018310505,24271274306.074913,23836036969.828247,Nonlinear IPPP
