simulation,total_count,observed_total,expected_total,model
1,678,825,715.1903745429104,Nonlinear IPPP
2,724,825,715.1903745429104,Nonlinear IPPP
3,706,825,715.1903745429104,Nonlinear IPPP
4,706,825,715.1903745429104,Nonlinear IPPP
5,715,825,715.1903745429104,Nonlinear IPPP
6,689,825,715.1903745429104,Nonlinear IPPP
7,714,825,715.1903745429104,Nonlinear IPPP
8,724,825,715.1903745429104,Nonlinear IPPP
9,723,825,715.1903745429104,Nonlinear IPPP
10,693,825,715.1903745429104,Nonlinear IPPP
11,693,825,715.1903745429104,Nonlinear IPPP
12,680,825,715.1903745429104,Nonlinear IPPP
13,704,825,715.1903745429104,Nonlinear IPPP
14,725,825,715.1903745429104,Nonlinear IPPP
15,671,825,715.1903745429104,Nonlinear IPPP
16,745,825,715.1903745429104,Nonlinear IPPP
17,650,825,715.1903745429104,Nonlinear IPPP
18,683,825,715.1903745429104,Nonlinear IPPP
19,694,825,715.1903745429104,Nonlinear IPPP
20,728,825,715.1903745429104,Nonlinear IPPP
21,723,825,715.1903745429104,Nonlinear IPPP
22,742,825,715.1903745429104,Nonlinear IPPP
23,684,825,715.1903745429104,Nonlinear IPPP
24,699,825,715.1903745429104,Nonlinear IPPP
25,715,825,715.1903745429104,Nonlinear IPPP
26,726,825,715.1903745429104,Nonlinear IPPP
27,734,825,715.1903745429104,Nonlinear IPPP
28,718,825,715.1903745429104,Nonlinear IPPP
29,717,825,715.1903745429104,Nonlinear IPPP
30,742,825,715.1903745429104,Nonlinear IPPP
31,673,825,715.1903745429104,Nonlinear IPPP
32,726,825,715.1903745429104,Nonlinear IPPP
33,677,825,715.1903745429104,Nonlinear IPPP
34,727,825,715.1903745429104,Nonlinear IPPP
35,709,825,715.1903745429104,Nonlinear IPPP
36,674,825,715.1903745429104,Nonlinear IPPP
37,715,825,715.1903745429104,Nonlinear IPPP
38,666,825,715.1903745429104,Nonlinear IPPP
39,728,825,715.1903745429104,Nonlinear IPPP
40,727,825,715.1903745429104,Nonlinear IPPP
41,675,825,715.1903745429104,Nonlinear IPPP
42,686,825,715.1903745429104,Nonlinear IPPP
43,699,825,715.1903745429104,Nonlinear IPPP
44,664,825,715.1903745429104,Nonlinear IPPP
45,738,825,715.1903745429104,Nonlinear IPPP
46,715,825,715.1903745429104,Nonlinear IPPP
47,666,825,715.1903745429104,Nonlinear IPPP
48,682,825,715.1903745429104,Nonlinear IPPP
49,730,825,715.1903745429104,Nonlinear IPPP
50,667,825,715.1903745429104,Nonlinear IPPP
51,652,825,715.1903745429104,Nonlinear IPPP
52,723,825,715.1903745429104,Nonlinear IPPP
53,725,825,715.1903745429104,Nonlinear IPPP
54,756,825,715.1903745429104,Nonlinear IPPP
55,696,825,715.1903745429104,Nonlinear IPPP
56,751,825,715.1903745429104,Nonlinear IPPP
57,736,825,715.1903745429104,Nonlinear IPPP
58,708,825,715.1903745429104,Nonlinear IPPP
59,684,825,715.1903745429104,Nonlinear IPPP
60,700,825,715.1903745429104,Nonlinear IPPP
61,627,825,715.1903745429104,Nonlinear IPPP
62,683,825,715.1903745429104,Nonlinear IPPP
63,720,825,715.1903745429104,Nonlinear IPPP
64,686,825,715.1903745429104,Nonlinear IPPP
65,699,825,715.1903745429104,Nonlinear IPPP
66,725,825,715.1903745429104,Nonlinear IPPP
67,680,825,715.1903745429104,Nonlinear IPPP
68,712,825,715.1903745429104,Nonlinear IPPP
69,749,825,715.1903745429104,Nonlinear IPPP
70,699,825,715.1903745429104,Nonlinear IPPP
71,697,825,715.1903745429104,Nonlinear IPPP
72,711,825,715.1903745429104,Nonlinear IPPP
73,701,825,715.1903745429104,Nonlinear IPPP
74,667,825,715.1903745429104,Nonlinear IPPP
75,743,825,715.1903745429104,Nonlinear IPPP
76,704,825,715.1903745429104,Nonlinear IPPP
77,699,825,715.1903745429104,Nonlinear IPPP
78,708,825,715.1903745429104,Nonlinear IPPP
79,684,825,715.1903745429104,Nonlinear IPPP
80,728,825,715.1903745429104,Nonlinear IPPP
81,687,825,715.1903745429104,Nonlinear IPPP
82,702,825,715.1903745429104,Nonlinear IPPP
83,720,825,715.1903745429104,Nonlinear IPPP
84,684,825,715.1903745429104,Nonlinear IPPP
85,657,825,715.1903745429104,Nonlinear IPPP
86,754,825,715.1903745429104,Nonlinear IPPP
87,727,825,715.1903745429104,Nonlinear IPPP
88,719,825,715.1903745429104,Nonlinear IPPP
89,696,825,715.1903745429104,Nonlinear IPPP
90,678,825,715.1903745429104,Nonlinear IPPP
91,750,825,715.1903745429104,Nonlinear IPPP
92,733,825,715.1903745429104,Nonlinear IPPP
93,709,825,715.1903745429104,Nonlinear IPPP
94,766,825,715.1903745429104,Nonlinear IPPP
95,789,825,715.1903745429104,Nonlinear IPPP
96,663,825,715.1903745429104,Nonlinear IPPP
97,709,825,715.1903745429104,Nonlinear IPPP
98,692,825,715.1903745429104,Nonlinear IPPP
99,693,825,715.1903745429104,Nonlinear IPPP
100,728,825,715.1903745429104,Nonlinear IPPP
101,752,825,715.1903745429104,Nonlinear IPPP
102,715,825,715.1903745429104,Nonlinear IPPP
103,711,825,715.1903745429104,Nonlinear IPPP
104,731,825,715.1903745429104,Nonlinear IPPP
105,703,825,715.1903745429104,Nonlinear IPPP
106,768,825,715.1903745429104,Nonlinear IPPP
107,730,825,715.1903745429104,Nonlinear IPPP
108,741,825,715.1903745429104,Nonlinear IPPP
109,733,825,715.1903745429104,Nonlinear IPPP
110,735,825,715.1903745429104,Nonlinear IPPP
111,705,825,715.1903745429104,Nonlinear IPPP
112,734,825,715.1903745429104,Nonlinear IPPP
113,748,825,715.1903745429104,Nonlinear IPPP
114,701,825,715.1903745429104,Nonlinear IPPP
115,693,825,715.1903745429104,Nonlinear IPPP
116,729,825,715.1903745429104,Nonlinear IPPP
117,694,825,715.1903745429104,Nonlinear IPPP
118,713,825,715.1903745429104,Nonlinear IPPP
119,701,825,715.1903745429104,Nonlinear IPPP
120,732,825,715.1903745429104,Nonlinear IPPP
121,723,825,715.1903745429104,Nonlinear IPPP
122,741,825,715.1903745429104,Nonlinear IPPP
123,770,825,715.1903745429104,Nonlinear IPPP
124,713,825,715.1903745429104,Nonlinear IPPP
125,699,825,715.1903745429104,Nonlinear IPPP
126,751,825,715.1903745429104,Nonlinear IPPP
127,699,825,715.1903745429104,Nonlinear IPPP
128,748,825,715.1903745429104,Nonlinear IPPP
129,725,825,715.1903745429104,Nonlinear IPPP
130,707,825,715.1903745429104,Nonlinear IPPP
131,715,825,715.1903745429104,Nonlinear IPPP
132,685,825,715.1903745429104,Nonlinear IPPP
133,713,825,715.1903745429104,Nonlinear IPPP
134,697,825,715.1903745429104,Nonlinear IPPP
135,743,825,715.1903745429104,Nonlinear IPPP
136,713,825,715.1903745429104,Nonlinear IPPP
137,697,825,715.1903745429104,Nonlinear IPPP
138,773,825,715.1903745429104,Nonlinear IPPP
139,716,825,715.1903745429104,Nonlinear IPPP
140,696,825,715.1903745429104,Nonlinear IPPP
141,715,825,715.1903745429104,Nonlinear IPPP
142,667,825,715.1903745429104,Nonlinear IPPP
143,640,825,715.1903745429104,Nonlinear IPPP
144,760,825,715.1903745429104,Nonlinear IPPP
145,676,825,715.1903745429104,Nonlinear IPPP
146,702,825,715.1903745429104,Nonlinear IPPP
147,728,825,715.1903745429104,Nonlinear IPPP
148,695,825,715.1903745429104,Nonlinear IPPP
149,705,825,715.1903745429104,Nonlinear IPPP
150,677,825,715.1903745429104,Nonlinear IPPP
151,722,825,715.1903745429104,Nonlinear IPPP
152,683,825,715.1903745429104,Nonlinear IPPP
153,641,825,715.1903745429104,Nonlinear IPPP
154,721,825,715.1903745429104,Nonlinear IPPP
155,691,825,715.1903745429104,Nonlinear IPPP
156,692,825,715.1903745429104,Nonlinear IPPP
157,722,825,715.1903745429104,Nonlinear IPPP
158,759,825,715.1903745429104,Nonlinear IPPP
159,688,825,715.1903745429104,Nonlinear IPPP
160,699,825,715.1903745429104,Nonlinear IPPP
161,720,825,715.1903745429104,Nonlinear IPPP
162,757,825,715.1903745429104,Nonlinear IPPP
163,698,825,715.1903745429104,Nonlinear IPPP
164,703,825,715.1903745429104,Nonlinear IPPP
165,739,825,715.1903745429104,Nonlinear IPPP
166,682,825,715.1903745429104,Nonlinear IPPP
167,740,825,715.1903745429104,Nonlinear IPPP
168,706,825,715.1903745429104,Nonlinear IPPP
169,718,825,715.1903745429104,Nonlinear IPPP
170,725,825,715.1903745429104,Nonlinear IPPP
171,688,825,715.1903745429104,Nonlinear IPPP
172,752,825,715.1903745429104,Nonlinear IPPP
173,737,825,715.1903745429104,Nonlinear IPPP
174,691,825,715.1903745429104,Nonlinear IPPP
175,739,825,715.1903745429104,Nonlinear IPPP
176,745,825,715.1903745429104,Nonlinear IPPP
177,741,825,715.1903745429104,Nonlinear IPPP
178,715,825,715.1903745429104,Nonlinear IPPP
179,715,825,715.1903745429104,Nonlinear IPPP
180,712,825,715.1903745429104,Nonlinear IPPP
181,752,825,715.1903745429104,Nonlinear IPPP
182,715,825,715.1903745429104,Nonlinear IPPP
183,669,825,715.1903745429104,Nonlinear IPPP
184,759,825,715.1903745429104,Nonlinear IPPP
185,695,825,715.1903745429104,Nonlinear IPPP
186,667,825,715.1903745429104,Nonlinear IPPP
187,678,825,715.1903745429104,Nonlinear IPPP
188,723,825,715.1903745429104,Nonlinear IPPP
189,757,825,715.1903745429104,Nonlinear IPPP
190,697,825,715.1903745429104,Nonlinear IPPP
191,672,825,715.1903745429104,Nonlinear IPPP
192,686,825,715.1903745429104,Nonlinear IPPP
193,692,825,715.1903745429104,Nonlinear IPPP
194,745,825,715.1903745429104,Nonlinear IPPP
195,709,825,715.1903745429104,Nonlinear IPPP
196,735,825,715.1903745429104,Nonlinear IPPP
197,737,825,715.1903745429104,Nonlinear IPPP
198,748,825,715.1903745429104,Nonlinear IPPP
199,749,825,715.1903745429104,Nonlinear IPPP
200,709,825,715.1903745429104,Nonlinear IPPP
201,758,825,715.1903745429104,Nonlinear IPPP
202,691,825,715.1903745429104,Nonlinear IPPP
203,696,825,715.1903745429104,Nonlinear IPPP
204,709,825,715.1903745429104,Nonlinear IPPP
205,744,825,715.1903745429104,Nonlinear IPPP
206,686,825,715.1903745429104,Nonlinear IPPP
207,732,825,715.1903745429104,Nonlinear IPPP
208,707,825,715.1903745429104,Nonlinear IPPP
209,724,825,715.1903745429104,Nonlinear IPPP
210,710,825,715.1903745429104,Nonlinear IPPP
211,662,825,715.1903745429104,Nonlinear IPPP
212,697,825,715.1903745429104,Nonlinear IPPP
213,648,825,715.1903745429104,Nonlinear IPPP
214,654,825,715.1903745429104,Nonlinear IPPP
215,695,825,715.1903745429104,Nonlinear IPPP
216,715,825,715.1903745429104,Nonlinear IPPP
217,694,825,715.1903745429104,Nonlinear IPPP
218,756,825,715.1903745429104,Nonlinear IPPP
219,738,825,715.1903745429104,Nonlinear IPPP
220,688,825,715.1903745429104,Nonlinear IPPP
221,680,825,715.1903745429104,Nonlinear IPPP
222,704,825,715.1903745429104,Nonlinear IPPP
223,697,825,715.1903745429104,Nonlinear IPPP
224,700,825,715.1903745429104,Nonlinear IPPP
225,722,825,715.1903745429104,Nonlinear IPPP
226,737,825,715.1903745429104,Nonlinear IPPP
227,713,825,715.1903745429104,Nonlinear IPPP
228,702,825,715.1903745429104,Nonlinear IPPP
229,693,825,715.1903745429104,Nonlinear IPPP
230,661,825,715.1903745429104,Nonlinear IPPP
231,672,825,715.1903745429104,Nonlinear IPPP
232,705,825,715.1903745429104,Nonlinear IPPP
233,733,825,715.1903745429104,Nonlinear IPPP
234,703,825,715.1903745429104,Nonlinear IPPP
235,701,825,715.1903745429104,Nonlinear IPPP
236,727,825,715.1903745429104,Nonlinear IPPP
237,692,825,715.1903745429104,Nonlinear IPPP
238,678,825,715.1903745429104,Nonlinear IPPP
239,687,825,715.1903745429104,Nonlinear IPPP
240,776,825,715.1903745429104,Nonlinear IPPP
241,711,825,715.1903745429104,Nonlinear IPPP
242,689,825,715.1903745429104,Nonlinear IPPP
243,784,825,715.1903745429104,Nonlinear IPPP
244,686,825,715.1903745429104,Nonlinear IPPP
245,743,825,715.1903745429104,Nonlinear IPPP
246,714,825,715.1903745429104,Nonlinear IPPP
247,744,825,715.1903745429104,Nonlinear IPPP
248,732,825,715.1903745429104,Nonlinear IPPP
249,713,825,715.1903745429104,Nonlinear IPPP
250,727,825,715.1903745429104,Nonlinear IPPP
251,708,825,715.1903745429104,Nonlinear IPPP
