simulation,total_count,observed_total,expected_total,model
1,807,825,824.9987640702354,Linear IPPP
2,811,825,824.9987640702354,Linear IPPP
3,830,825,824.9987640702354,Linear IPPP
4,799,825,824.9987640702354,Linear IPPP
5,773,825,824.9987640702354,Linear IPPP
6,846,825,824.9987640702354,Linear IPPP
7,795,825,824.9987640702354,Linear IPPP
8,808,825,824.9987640702354,Linear IPPP
9,810,825,824.9987640702354,Linear IPPP
10,810,825,824.9987640702354,Linear IPPP
11,878,825,824.9987640702354,Linear IPPP
12,800,825,824.9987640702354,Linear IPPP
13,824,825,824.9987640702354,Linear IPPP
14,806,825,824.9987640702354,Linear IPPP
15,792,825,824.9987640702354,Linear IPPP
16,857,825,824.9987640702354,Linear IPPP
17,844,825,824.9987640702354,Linear IPPP
18,787,825,824.9987640702354,Linear IPPP
19,825,825,824.9987640702354,Linear IPPP
20,811,825,824.9987640702354,Linear IPPP
21,821,825,824.9987640702354,Linear IPPP
22,810,825,824.9987640702354,Linear IPPP
23,863,825,824.9987640702354,Linear IPPP
24,773,825,824.9987640702354,Linear IPPP
25,881,825,824.9987640702354,Linear IPPP
26,846,825,824.9987640702354,Linear IPPP
27,838,825,824.9987640702354,Linear IPPP
28,831,825,824.9987640702354,Linear IPPP
29,817,825,824.9987640702354,Linear IPPP
30,798,825,824.9987640702354,Linear IPPP
31,799,825,824.9987640702354,Linear IPPP
32,750,825,824.9987640702354,Linear IPPP
33,819,825,824.9987640702354,Linear IPPP
34,801,825,824.9987640702354,Linear IPPP
35,847,825,824.9987640702354,Linear IPPP
36,802,825,824.9987640702354,Linear IPPP
37,836,825,824.9987640702354,Linear IPPP
38,803,825,824.9987640702354,Linear IPPP
39,834,825,824.9987640702354,Linear IPPP
40,821,825,824.9987640702354,Linear IPPP
41,797,825,824.9987640702354,Linear IPPP
42,823,825,824.9987640702354,Linear IPPP
43,795,825,824.9987640702354,Linear IPPP
44,854,825,824.9987640702354,Linear IPPP
45,858,825,824.9987640702354,Linear IPPP
46,834,825,824.9987640702354,Linear IPPP
47,857,825,824.9987640702354,Linear IPPP
48,913,825,824.9987640702354,Linear IPPP
49,788,825,824.9987640702354,Linear IPPP
50,810,825,824.9987640702354,Linear IPPP
51,784,825,824.9987640702354,Linear IPPP
52,861,825,824.9987640702354,Linear IPPP
53,823,825,824.9987640702354,Linear IPPP
54,799,825,824.9987640702354,Linear IPPP
55,860,825,824.9987640702354,Linear IPPP
56,805,825,824.9987640702354,Linear IPPP
57,805,825,824.9987640702354,Linear IPPP
58,872,825,824.9987640702354,Linear IPPP
59,817,825,824.9987640702354,Linear IPPP
60,837,825,824.9987640702354,Linear IPPP
61,848,825,824.9987640702354,Linear IPPP
62,800,825,824.9987640702354,Linear IPPP
63,839,825,824.9987640702354,Linear IPPP
64,844,825,824.9987640702354,Linear IPPP
65,857,825,824.9987640702354,Linear IPPP
66,856,825,824.9987640702354,Linear IPPP
67,829,825,824.9987640702354,Linear IPPP
68,800,825,824.9987640702354,Linear IPPP
69,810,825,824.9987640702354,Linear IPPP
70,832,825,824.9987640702354,Linear IPPP
71,830,825,824.9987640702354,Linear IPPP
72,839,825,824.9987640702354,Linear IPPP
73,796,825,824.9987640702354,Linear IPPP
74,816,825,824.9987640702354,Linear IPPP
75,799,825,824.9987640702354,Linear IPPP
76,860,825,824.9987640702354,Linear IPPP
77,835,825,824.9987640702354,Linear IPPP
78,884,825,824.9987640702354,Linear IPPP
79,833,825,824.9987640702354,Linear IPPP
80,830,825,824.9987640702354,Linear IPPP
81,789,825,824.9987640702354,Linear IPPP
82,813,825,824.9987640702354,Linear IPPP
83,903,825,824.9987640702354,Linear IPPP
84,831,825,824.9987640702354,Linear IPPP
85,866,825,824.9987640702354,Linear IPPP
86,824,825,824.9987640702354,Linear IPPP
87,844,825,824.9987640702354,Linear IPPP
88,813,825,824.9987640702354,Linear IPPP
89,812,825,824.9987640702354,Linear IPPP
90,874,825,824.9987640702354,Linear IPPP
91,823,825,824.9987640702354,Linear IPPP
92,858,825,824.9987640702354,Linear IPPP
93,860,825,824.9987640702354,Linear IPPP
94,806,825,824.9987640702354,Linear IPPP
95,797,825,824.9987640702354,Linear IPPP
96,823,825,824.9987640702354,Linear IPPP
97,819,825,824.9987640702354,Linear IPPP
98,820,825,824.9987640702354,Linear IPPP
99,793,825,824.9987640702354,Linear IPPP
100,852,825,824.9987640702354,Linear IPPP
101,836,825,824.9987640702354,Linear IPPP
102,803,825,824.9987640702354,Linear IPPP
103,863,825,824.9987640702354,Linear IPPP
104,818,825,824.9987640702354,Linear IPPP
105,863,825,824.9987640702354,Linear IPPP
106,819,825,824.9987640702354,Linear IPPP
107,818,825,824.9987640702354,Linear IPPP
108,812,825,824.9987640702354,Linear IPPP
109,827,825,824.9987640702354,Linear IPPP
110,852,825,824.9987640702354,Linear IPPP
111,835,825,824.9987640702354,Linear IPPP
112,790,825,824.9987640702354,Linear IPPP
113,833,825,824.9987640702354,Linear IPPP
114,816,825,824.9987640702354,Linear IPPP
115,834,825,824.9987640702354,Linear IPPP
116,860,825,824.9987640702354,Linear IPPP
117,825,825,824.9987640702354,Linear IPPP
118,878,825,824.9987640702354,Linear IPPP
119,817,825,824.9987640702354,Linear IPPP
120,847,825,824.9987640702354,Linear IPPP
121,822,825,824.9987640702354,Linear IPPP
122,842,825,824.9987640702354,Linear IPPP
123,841,825,824.9987640702354,Linear IPPP
124,837,825,824.9987640702354,Linear IPPP
125,787,825,824.9987640702354,Linear IPPP
126,817,825,824.9987640702354,Linear IPPP
127,823,825,824.9987640702354,Linear IPPP
128,870,825,824.9987640702354,Linear IPPP
129,765,825,824.9987640702354,Linear IPPP
130,866,825,824.9987640702354,Linear IPPP
131,836,825,824.9987640702354,Linear IPPP
132,842,825,824.9987640702354,Linear IPPP
133,840,825,824.9987640702354,Linear IPPP
134,832,825,824.9987640702354,Linear IPPP
135,846,825,824.9987640702354,Linear IPPP
136,828,825,824.9987640702354,Linear IPPP
137,841,825,824.9987640702354,Linear IPPP
138,811,825,824.9987640702354,Linear IPPP
139,892,825,824.9987640702354,Linear IPPP
140,861,825,824.9987640702354,Linear IPPP
141,828,825,824.9987640702354,Linear IPPP
142,832,825,824.9987640702354,Linear IPPP
143,850,825,824.9987640702354,Linear IPPP
144,786,825,824.9987640702354,Linear IPPP
145,885,825,824.9987640702354,Linear IPPP
146,790,825,824.9987640702354,Linear IPPP
147,832,825,824.9987640702354,Linear IPPP
148,810,825,824.9987640702354,Linear IPPP
149,843,825,824.9987640702354,Linear IPPP
150,829,825,824.9987640702354,Linear IPPP
151,866,825,824.9987640702354,Linear IPPP
152,871,825,824.9987640702354,Linear IPPP
153,780,825,824.9987640702354,Linear IPPP
154,804,825,824.9987640702354,Linear IPPP
155,844,825,824.9987640702354,Linear IPPP
156,825,825,824.9987640702354,Linear IPPP
157,823,825,824.9987640702354,Linear IPPP
158,803,825,824.9987640702354,Linear IPPP
159,801,825,824.9987640702354,Linear IPPP
160,859,825,824.9987640702354,Linear IPPP
161,761,825,824.9987640702354,Linear IPPP
162,825,825,824.9987640702354,Linear IPPP
163,876,825,824.9987640702354,Linear IPPP
164,797,825,824.9987640702354,Linear IPPP
165,808,825,824.9987640702354,Linear IPPP
166,786,825,824.9987640702354,Linear IPPP
167,790,825,824.9987640702354,Linear IPPP
168,837,825,824.9987640702354,Linear IPPP
169,793,825,824.9987640702354,Linear IPPP
170,821,825,824.9987640702354,Linear IPPP
171,836,825,824.9987640702354,Linear IPPP
172,809,825,824.9987640702354,Linear IPPP
173,821,825,824.9987640702354,Linear IPPP
174,868,825,824.9987640702354,Linear IPPP
175,805,825,824.9987640702354,Linear IPPP
176,874,825,824.9987640702354,Linear IPPP
177,826,825,824.9987640702354,Linear IPPP
178,858,825,824.9987640702354,Linear IPPP
179,885,825,824.9987640702354,Linear IPPP
180,829,825,824.9987640702354,Linear IPPP
181,872,825,824.9987640702354,Linear IPPP
182,847,825,824.9987640702354,Linear IPPP
183,823,825,824.9987640702354,Linear IPPP
184,850,825,824.9987640702354,Linear IPPP
185,781,825,824.9987640702354,Linear IPPP
186,821,825,824.9987640702354,Linear IPPP
187,796,825,824.9987640702354,Linear IPPP
188,859,825,824.9987640702354,Linear IPPP
189,832,825,824.9987640702354,Linear IPPP
190,824,825,824.9987640702354,Linear IPPP
191,773,825,824.9987640702354,Linear IPPP
192,863,825,824.9987640702354,Linear IPPP
193,796,825,824.9987640702354,Linear IPPP
194,792,825,824.9987640702354,Linear IPPP
195,839,825,824.9987640702354,Linear IPPP
196,834,825,824.9987640702354,Linear IPPP
197,872,825,824.9987640702354,Linear IPPP
198,808,825,824.9987640702354,Linear IPPP
199,817,825,824.9987640702354,Linear IPPP
200,829,825,824.9987640702354,Linear IPPP
201,846,825,824.9987640702354,Linear IPPP
202,813,825,824.9987640702354,Linear IPPP
203,858,825,824.9987640702354,Linear IPPP
204,823,825,824.9987640702354,Linear IPPP
205,781,825,824.9987640702354,Linear IPPP
206,868,825,824.9987640702354,Linear IPPP
207,849,825,824.9987640702354,Linear IPPP
208,756,825,824.9987640702354,Linear IPPP
209,818,825,824.9987640702354,Linear IPPP
210,798,825,824.9987640702354,Linear IPPP
211,839,825,824.9987640702354,Linear IPPP
212,770,825,824.9987640702354,Linear IPPP
213,854,825,824.9987640702354,Linear IPPP
214,874,825,824.9987640702354,Linear IPPP
215,839,825,824.9987640702354,Linear IPPP
216,827,825,824.9987640702354,Linear IPPP
217,821,825,824.9987640702354,Linear IPPP
218,833,825,824.9987640702354,Linear IPPP
219,830,825,824.9987640702354,Linear IPPP
220,782,825,824.9987640702354,Linear IPPP
221,797,825,824.9987640702354,Linear IPPP
222,849,825,824.9987640702354,Linear IPPP
223,783,825,824.9987640702354,Linear IPPP
224,842,825,824.9987640702354,Linear IPPP
225,830,825,824.9987640702354,Linear IPPP
226,807,825,824.9987640702354,Linear IPPP
227,855,825,824.9987640702354,Linear IPPP
228,813,825,824.9987640702354,Linear IPPP
229,788,825,824.9987640702354,Linear IPPP
230,819,825,824.9987640702354,Linear IPPP
231,841,825,824.9987640702354,Linear IPPP
232,827,825,824.9987640702354,Linear IPPP
233,830,825,824.9987640702354,Linear IPPP
234,814,825,824.9987640702354,Linear IPPP
235,792,825,824.9987640702354,Linear IPPP
236,780,825,824.9987640702354,Linear IPPP
237,875,825,824.9987640702354,Linear IPPP
238,823,825,824.9987640702354,Linear IPPP
239,761,825,824.9987640702354,Linear IPPP
240,819,825,824.9987640702354,Linear IPPP
241,788,825,824.9987640702354,Linear IPPP
242,753,825,824.9987640702354,Linear IPPP
243,828,825,824.9987640702354,Linear IPPP
244,847,825,824.9987640702354,Linear IPPP
245,839,825,824.9987640702354,Linear IPPP
246,817,825,824.9987640702354,Linear IPPP
247,821,825,824.9987640702354,Linear IPPP
248,799,825,824.9987640702354,Linear IPPP
249,787,825,824.9987640702354,Linear IPPP
250,842,825,824.9987640702354,Linear IPPP
251,868,825,824.9987640702354,Linear IPPP
252,809,825,824.9987640702354,Linear IPPP
253,846,825,824.9987640702354,Linear IPPP
254,830,825,824.9987640702354,Linear IPPP
255,840,825,824.9987640702354,Linear IPPP
256,800,825,824.9987640702354,Linear IPPP
257,818,825,824.9987640702354,Linear IPPP
258,839,825,824.9987640702354,Linear IPPP
259,834,825,824.9987640702354,Linear IPPP
260,839,825,824.9987640702354,Linear IPPP
261,792,825,824.9987640702354,Linear IPPP
262,836,825,824.9987640702354,Linear IPPP
263,816,825,824.9987640702354,Linear IPPP
264,866,825,824.9987640702354,Linear IPPP
265,759,825,824.9987640702354,Linear IPPP
266,837,825,824.9987640702354,Linear IPPP
267,751,825,824.9987640702354,Linear IPPP
268,840,825,824.9987640702354,Linear IPPP
269,770,825,824.9987640702354,Linear IPPP
270,841,825,824.9987640702354,Linear IPPP
271,857,825,824.9987640702354,Linear IPPP
272,807,825,824.9987640702354,Linear IPPP
273,893,825,824.9987640702354,Linear IPPP
274,801,825,824.9987640702354,Linear IPPP
275,838,825,824.9987640702354,Linear IPPP
276,787,825,824.9987640702354,Linear IPPP
277,847,825,824.9987640702354,Linear IPPP
278,765,825,824.9987640702354,Linear IPPP
279,845,825,824.9987640702354,Linear IPPP
280,755,825,824.9987640702354,Linear IPPP
281,799,825,824.9987640702354,Linear IPPP
282,815,825,824.9987640702354,Linear IPPP
283,830,825,824.9987640702354,Linear IPPP
284,839,825,824.9987640702354,Linear IPPP
285,819,825,824.9987640702354,Linear IPPP
286,829,825,824.9987640702354,Linear IPPP
287,778,825,824.9987640702354,Linear IPPP
288,817,825,824.9987640702354,Linear IPPP
289,835,825,824.9987640702354,Linear IPPP
290,803,825,824.9987640702354,Linear IPPP
291,810,825,824.9987640702354,Linear IPPP
292,798,825,824.9987640702354,Linear IPPP
293,822,825,824.9987640702354,Linear IPPP
294,872,825,824.9987640702354,Linear IPPP
295,852,825,824.9987640702354,Linear IPPP
296,836,825,824.9987640702354,Linear IPPP
297,860,825,824.9987640702354,Linear IPPP
298,829,825,824.9987640702354,Linear IPPP
299,838,825,824.9987640702354,Linear IPPP
300,836,825,824.9987640702354,Linear IPPP
301,835,825,824.9987640702354,Linear IPPP
302,819,825,824.9987640702354,Linear IPPP
303,837,825,824.9987640702354,Linear IPPP
304,853,825,824.9987640702354,Linear IPPP
305,826,825,824.9987640702354,Linear IPPP
306,777,825,824.9987640702354,Linear IPPP
307,817,825,824.9987640702354,Linear IPPP
308,864,825,824.9987640702354,Linear IPPP
309,829,825,824.9987640702354,Linear IPPP
310,771,825,824.9987640702354,Linear IPPP
311,812,825,824.9987640702354,Linear IPPP
312,838,825,824.9987640702354,Linear IPPP
313,834,825,824.9987640702354,Linear IPPP
314,781,825,824.9987640702354,Linear IPPP
315,839,825,824.9987640702354,Linear IPPP
316,796,825,824.9987640702354,Linear IPPP
317,874,825,824.9987640702354,Linear IPPP
318,808,825,824.9987640702354,Linear IPPP
319,789,825,824.9987640702354,Linear IPPP
320,784,825,824.9987640702354,Linear IPPP
321,824,825,824.9987640702354,Linear IPPP
322,799,825,824.9987640702354,Linear IPPP
323,900,825,824.9987640702354,Linear IPPP
324,892,825,824.9987640702354,Linear IPPP
325,833,825,824.9987640702354,Linear IPPP
326,855,825,824.9987640702354,Linear IPPP
327,863,825,824.9987640702354,Linear IPPP
328,794,825,824.9987640702354,Linear IPPP
329,861,825,824.9987640702354,Linear IPPP
330,824,825,824.9987640702354,Linear IPPP
331,871,825,824.9987640702354,Linear IPPP
332,804,825,824.9987640702354,Linear IPPP
333,779,825,824.9987640702354,Linear IPPP
334,818,825,824.9987640702354,Linear IPPP
335,807,825,824.9987640702354,Linear IPPP
336,809,825,824.9987640702354,Linear IPPP
337,781,825,824.9987640702354,Linear IPPP
338,810,825,824.9987640702354,Linear IPPP
339,807,825,824.9987640702354,Linear IPPP
340,828,825,824.9987640702354,Linear IPPP
341,829,825,824.9987640702354,Linear IPPP
342,832,825,824.9987640702354,Linear IPPP
343,895,825,824.9987640702354,Linear IPPP
344,859,825,824.9987640702354,Linear IPPP
345,825,825,824.9987640702354,Linear IPPP
346,798,825,824.9987640702354,Linear IPPP
