radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,574361782.1351981,9534414.787931299,Linear IPPP
3484.1920073242018,716936290.6331862,38137659.151725195,Linear IPPP
5226.288010986304,845991412.1428163,85809733.09138171,Linear IPPP
6968.384014648404,1114530794.8492534,152550636.60690084,Linear IPPP
8710.480018310505,1478929287.5538914,238360369.69828254,Linear IPPP
10452.576021972607,1855669027.4072974,343238932.36552685,Linear IPPP
12194.672025634707,2351416351.940245,467186324.6086337,Linear IPPP
13936.768029296807,2788765546.1301656,610202546.4276031,Linear IPPP
15678.86403295891,3234784219.3639836,772287597.8224355,Linear IPPP
17420.96003662101,3810077389.347884,953441478.7931302,Linear IPPP
19163.05604028311,4353737680.64011,1153664189.3396873,Linear IPPP
20905.15204394521,4864923313.424868,1372955729.462107,Linear IPPP
22647.248047607314,5359516256.276052,1611316099.1603901,Linear IPPP
24389.344051269414,5915492487.736819,1868745298.4345348,Linear IPPP
26131.440054931514,6467175971.39602,2145243327.2845426,Linear IPPP
27873.536058593618,7011800652.242902,2440810185.7104135,Linear IPPP
29615.632062255718,7634408138.298475,2755445873.712146,Linear IPPP
31357.728065917818,8265728555.163739,3089150391.2897415,Linear IPPP
33099.824069579925,8950833327.35354,3441923738.4432006,Linear IPPP
34841.92007324202,9625699996.402567,3813765915.1725206,Linear IPPP
36584.016076904125,10463392537.208883,4204676921.4777045,Linear IPPP
38326.11208056623,11197738567.648363,4614656757.358751,Linear IPPP
40068.208084228325,11831791163.13288,5043705422.815659,Linear IPPP
41810.30408789043,12568800076.549263,5491822917.84843,Linear IPPP
43552.40009155253,13359484506.500711,5959009242.457065,Linear IPPP
45294.49609521463,14043789361.695503,6445264396.641561,Linear IPPP
47036.59209887673,14668333124.50664,6950588380.40192,Linear IPPP
48778.688102538836,15502189586.725622,7474981193.738142,Linear IPPP
50520.78410620093,16150344286.639612,8018442836.650225,Linear IPPP
52262.880109863036,16668102060.702438,8580973309.138172,Linear IPPP
54004.97611352514,17225101256.65471,9162572611.201982,Linear IPPP
55747.072117187236,17802552279.91685,9763240742.841654,Linear IPPP
57489.16812084934,18374832217.88687,10382977704.057188,Linear IPPP
59231.26412451144,19024945880.65837,11021783494.848587,Linear IPPP
60973.36012817354,19524933626.049255,11679658115.215843,Linear IPPP
62715.45613183564,20236678196.286633,12356601565.158968,Linear IPPP
64457.552135497746,20732083822.136547,13052613844.677954,Linear IPPP
66199.64813915984,21259853337.971413,13767694953.772797,Linear IPPP
67941.74414282193,21804706714.70405,14501844892.443506,Linear IPPP
69683.84014648404,22252292887.864246,15255063660.690083,Linear IPPP
71425.93615014614,22640017893.449093,16027351258.512516,Linear IPPP
73168.03215380824,23075872482.169132,16818707685.91081,Linear IPPP
74910.12815747035,23520093162.54147,17629132942.884975,Linear IPPP
76652.22416113244,23903948440.65949,18458627029.434998,Linear IPPP
78394.32016479454,24214883064.91417,19307189945.56088,Linear IPPP
80136.41616845665,24626599224.155487,20174821691.262634,Linear IPPP
81878.51217211875,25046327038.893394,21061522266.54024,Linear IPPP
83620.60817578084,25386263318.61772,21967291671.39371,Linear IPPP
85362.70417944295,25761423739.28893,22892129905.823055,Linear IPPP
87104.80018310505,26114757792.41658,23836036969.828247,Linear IPPP
