radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,702864367.6030903,9534414.787931299,Nonlinear IPPP
3484.1920073242018,788533443.1543573,38137659.151725195,Nonlinear IPPP
5226.288010986304,868016278.3208438,85809733.09138171,Nonlinear IPPP
6968.384014648404,1005802094.0670228,152550636.60690084,Nonlinear IPPP
8710.480018310505,1182665496.1555207,238360369.69828254,Nonlinear IPPP
10452.576021972607,1349692926.8546705,343238932.36552685,Nonlinear IPPP
12194.672025634707,1591937820.7611208,467186324.6086337,Nonlinear IPPP
13936.768029296807,1812548710.037392,610202546.4276031,Nonlinear IPPP
15678.86403295891,2101876504.5140448,772287597.8224355,Nonlinear IPPP
17420.96003662101,2447471051.757114,953441478.7931302,Nonlinear IPPP
19163.05604028311,2687574325.704294,1153664189.3396873,Nonlinear IPPP
20905.15204394521,3055622682.493722,1372955729.462107,Nonlinear IPPP
22647.248047607314,3318660635.5588627,1611316099.1603901,Nonlinear IPPP
24389.344051269414,3726808263.8910875,1868745298.4345348,Nonlinear IPPP
26131.440054931514,4037326605.444098,2145243327.2845426,Nonlinear IPPP
27873.536058593618,4331815063.642178,2440810185.7104135,Nonlinear IPPP
29615.632062255718,4665082459.24642,2755445873.712146,Nonlinear IPPP
31357.728065917818,5133380941.994412,3089150391.2897415,Nonlinear IPPP
33099.824069579925,5716365105.494695,3441923738.4432006,Nonlinear IPPP
34841.92007324202,6192685440.525152,3813765915.1725206,Nonlinear IPPP
36584.016076904125,6756130033.576927,4204676921.4777045,Nonlinear IPPP
38326.11208056623,7249068800.915406,4614656757.358751,Nonlinear IPPP
40068.208084228325,7634413655.3449955,5043705422.815659,Nonlinear IPPP
41810.30408789043,8056359116.616983,5491822917.84843,Nonlinear IPPP
43552.40009155253,8809348170.691994,5959009242.457065,Nonlinear IPPP
45294.49609521463,9345875419.393204,6445264396.641561,Nonlinear IPPP
47036.59209887673,9844565673.68209,6950588380.40192,Nonlinear IPPP
48778.688102538836,10360668759.563768,7474981193.738142,Nonlinear IPPP
50520.78410620093,10747145197.125553,8018442836.650225,Nonlinear IPPP
52262.880109863036,11171764844.093756,8580973309.138172,Nonlinear IPPP
54004.97611352514,11544025183.672974,9162572611.201982,Nonlinear IPPP
55747.072117187236,11936515554.869469,9763240742.841654,Nonlinear IPPP
57489.16812084934,12470896097.638067,10382977704.057188,Nonlinear IPPP
59231.26412451144,13147464892.237558,11021783494.848587,Nonlinear IPPP
60973.36012817354,13621555290.774343,11679658115.215843,Nonlinear IPPP
62715.45613183564,14451313505.44869,12356601565.158968,Nonlinear IPPP
64457.552135497746,14885521949.120295,13052613844.677954,Nonlinear IPPP
66199.64813915984,15240677953.011818,13767694953.772797,Nonlinear IPPP
67941.74414282193,15751547524.90396,14501844892.443506,Nonlinear IPPP
69683.84014648404,16130443289.75019,15255063660.690083,Nonlinear IPPP
71425.93615014614,16542958930.32824,16027351258.512516,Nonlinear IPPP
73168.03215380824,17041744088.860384,16818707685.91081,Nonlinear IPPP
74910.12815747035,17394020170.032654,17629132942.884975,Nonlinear IPPP
76652.22416113244,17730887923.56764,18458627029.434998,Nonlinear IPPP
78394.32016479454,18028446703.449013,19307189945.56088,Nonlinear IPPP
80136.41616845665,18535050514.61289,20174821691.262634,Nonlinear IPPP
81878.51217211875,18893446228.736748,21061522266.54024,Nonlinear IPPP
83620.60817578084,19210110607.06203,21967291671.39371,Nonlinear IPPP
85362.70417944295,19692698694.84521,22892129905.823055,Nonlinear IPPP
87104.80018310505,20033166119.857613,23836036969.828247,Nonlinear IPPP
