simulation,total_count,observed_total,expected_total,model
1,817,825,825.0010752488465,Linear IPPP
2,828,825,825.0010752488465,Linear IPPP
3,839,825,825.0010752488465,Linear IPPP
4,822,825,825.0010752488465,Linear IPPP
5,843,825,825.0010752488465,Linear IPPP
6,795,825,825.0010752488465,Linear IPPP
7,828,825,825.0010752488465,Linear IPPP
8,858,825,825.0010752488465,Linear IPPP
9,841,825,825.0010752488465,Linear IPPP
10,809,825,825.0010752488465,Linear IPPP
11,807,825,825.0010752488465,Linear IPPP
12,830,825,825.0010752488465,Linear IPPP
13,836,825,825.0010752488465,Linear IPPP
14,859,825,825.0010752488465,Linear IPPP
15,829,825,825.0010752488465,Linear IPPP
16,812,825,825.0010752488465,Linear IPPP
17,809,825,825.0010752488465,Linear IPPP
18,876,825,825.0010752488465,Linear IPPP
19,756,825,825.0010752488465,Linear IPPP
20,807,825,825.0010752488465,Linear IPPP
21,793,825,825.0010752488465,Linear IPPP
22,847,825,825.0010752488465,Linear IPPP
23,844,825,825.0010752488465,Linear IPPP
24,837,825,825.0010752488465,Linear IPPP
25,846,825,825.0010752488465,Linear IPPP
26,828,825,825.0010752488465,Linear IPPP
27,837,825,825.0010752488465,Linear IPPP
28,809,825,825.0010752488465,Linear IPPP
29,826,825,825.0010752488465,Linear IPPP
30,820,825,825.0010752488465,Linear IPPP
31,870,825,825.0010752488465,Linear IPPP
32,815,825,825.0010752488465,Linear IPPP
33,783,825,825.0010752488465,Linear IPPP
34,775,825,825.0010752488465,Linear IPPP
35,770,825,825.0010752488465,Linear IPPP
36,828,825,825.0010752488465,Linear IPPP
37,823,825,825.0010752488465,Linear IPPP
38,822,825,825.0010752488465,Linear IPPP
39,807,825,825.0010752488465,Linear IPPP
40,783,825,825.0010752488465,Linear IPPP
41,822,825,825.0010752488465,Linear IPPP
42,834,825,825.0010752488465,Linear IPPP
43,854,825,825.0010752488465,Linear IPPP
44,816,825,825.0010752488465,Linear IPPP
45,848,825,825.0010752488465,Linear IPPP
46,796,825,825.0010752488465,Linear IPPP
47,797,825,825.0010752488465,Linear IPPP
48,825,825,825.0010752488465,Linear IPPP
49,814,825,825.0010752488465,Linear IPPP
50,828,825,825.0010752488465,Linear IPPP
51,817,825,825.0010752488465,Linear IPPP
52,777,825,825.0010752488465,Linear IPPP
53,825,825,825.0010752488465,Linear IPPP
54,828,825,825.0010752488465,Linear IPPP
55,820,825,825.0010752488465,Linear IPPP
56,799,825,825.0010752488465,Linear IPPP
57,852,825,825.0010752488465,Linear IPPP
58,875,825,825.0010752488465,Linear IPPP
59,766,825,825.0010752488465,Linear IPPP
60,827,825,825.0010752488465,Linear IPPP
61,857,825,825.0010752488465,Linear IPPP
62,811,825,825.0010752488465,Linear IPPP
63,764,825,825.0010752488465,Linear IPPP
64,813,825,825.0010752488465,Linear IPPP
65,841,825,825.0010752488465,Linear IPPP
66,867,825,825.0010752488465,Linear IPPP
67,857,825,825.0010752488465,Linear IPPP
68,788,825,825.0010752488465,Linear IPPP
69,850,825,825.0010752488465,Linear IPPP
70,847,825,825.0010752488465,Linear IPPP
71,785,825,825.0010752488465,Linear IPPP
72,838,825,825.0010752488465,Linear IPPP
73,827,825,825.0010752488465,Linear IPPP
74,838,825,825.0010752488465,Linear IPPP
75,816,825,825.0010752488465,Linear IPPP
76,840,825,825.0010752488465,Linear IPPP
77,785,825,825.0010752488465,Linear IPPP
78,824,825,825.0010752488465,Linear IPPP
79,828,825,825.0010752488465,Linear IPPP
80,815,825,825.0010752488465,Linear IPPP
81,851,825,825.0010752488465,Linear IPPP
82,830,825,825.0010752488465,Linear IPPP
83,828,825,825.0010752488465,Linear IPPP
84,829,825,825.0010752488465,Linear IPPP
85,882,825,825.0010752488465,Linear IPPP
86,846,825,825.0010752488465,Linear IPPP
87,816,825,825.0010752488465,Linear IPPP
88,824,825,825.0010752488465,Linear IPPP
89,762,825,825.0010752488465,Linear IPPP
90,793,825,825.0010752488465,Linear IPPP
91,841,825,825.0010752488465,Linear IPPP
92,824,825,825.0010752488465,Linear IPPP
