radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,579109777.9667423,9534414.787931299,Linear IPPP
3484.1920073242018,728266632.2241358,38137659.151725195,Linear IPPP
5226.288010986304,866806463.8905504,85809733.09138171,Linear IPPP
6968.384014648404,1154946850.5083036,152550636.60690084,Linear IPPP
8710.480018310505,1542318564.3534708,238360369.69828254,Linear IPPP
10452.576021972607,1946386071.4998991,343238932.36552685,Linear IPPP
12194.672025634707,2466069035.3750353,467186324.6086337,Linear IPPP
13936.768029296807,2935306483.809367,610202546.4276031,Linear IPPP
15678.86403295891,3405215344.1905684,772287597.8224355,Linear IPPP
17420.96003662101,4018018838.1922975,953441478.7931302,Linear IPPP
19163.05604028311,4601566966.861078,1153664189.3396873,Linear IPPP
20905.15204394521,5138008932.56671,1372955729.462107,Linear IPPP
22647.248047607314,5659256168.7902975,1611316099.1603901,Linear IPPP
24389.344051269414,6243643946.863845,1868745298.4345348,Linear IPPP
26131.440054931514,6823404783.122654,2145243327.2845426,Linear IPPP
27873.536058593618,7396855129.729828,2440810185.7104135,Linear IPPP
29615.632062255718,8058005323.1980295,2755445873.712146,Linear IPPP
31357.728065917818,8726554621.555689,3089150391.2897415,Linear IPPP
33099.824069579925,9436837342.776064,3441923738.4432006,Linear IPPP
34841.92007324202,10143580765.729895,3813765915.1725206,Linear IPPP
36584.016076904125,11022367688.761805,4204676921.4777045,Linear IPPP
38326.11208056623,11794054198.666933,4614656757.358751,Linear IPPP
40068.208084228325,12463632295.7097,5043705422.815659,Linear IPPP
41810.30408789043,13243943539.734867,5491822917.84843,Linear IPPP
43552.40009155253,14058599880.18927,5959009242.457065,Linear IPPP
45294.49609521463,14772670218.019476,6445264396.641561,Linear IPPP
47036.59209887673,15427022730.642736,6950588380.40192,Linear IPPP
48778.688102538836,16300615801.825039,7474981193.738142,Linear IPPP
50520.78410620093,16984184798.981077,8018442836.650225,Linear IPPP
52262.880109863036,17529979852.894596,8580973309.138172,Linear IPPP
54004.97611352514,18128157120.415623,9162572611.201982,Linear IPPP
55747.072117187236,18741630599.60163,9763240742.841654,Linear IPPP
57489.16812084934,19340159213.78715,10382977704.057188,Linear IPPP
59231.26412451144,20009926952.445877,11021783494.848587,Linear IPPP
60973.36012817354,20532257207.08491,11679658115.215843,Linear IPPP
62715.45613183564,21261416518.981853,12356601565.158968,Linear IPPP
64457.552135497746,21780106866.570065,13052613844.677954,Linear IPPP
66199.64813915984,22336661543.197025,13767694953.772797,Linear IPPP
67941.74414282193,22907560809.433468,14501844892.443506,Linear IPPP
69683.84014648404,23380707369.444702,15255063660.690083,Linear IPPP
71425.93615014614,23782297136.600918,16027351258.512516,Linear IPPP
73168.03215380824,24230669857.37721,16818707685.91081,Linear IPPP
74910.12815747035,24695189363.4774,17629132942.884975,Linear IPPP
76652.22416113244,25099333236.20678,18458627029.434998,Linear IPPP
78394.32016479454,25424320096.349674,19307189945.56088,Linear IPPP
80136.41616845665,25847144109.67461,20174821691.262634,Linear IPPP
81878.51217211875,26290393663.97089,21061522266.54024,Linear IPPP
83620.60817578084,26648821161.130245,21967291671.39371,Linear IPPP
85362.70417944295,27034530814.422478,22892129905.823055,Linear IPPP
87104.80018310505,27410399724.580605,23836036969.828247,Linear IPPP
