radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,937441073.2726357,9534414.787931299,Nonlinear IPPP
3484.1920073242018,1024232002.0489252,38137659.151725195,Nonlinear IPPP
5226.288010986304,1111766861.0424905,85809733.09138171,Nonlinear IPPP
6968.384014648404,1194721182.0167801,152550636.60690084,Nonlinear IPPP
8710.480018310505,1363637190.1284676,238360369.69828254,Nonlinear IPPP
10452.576021972607,1486785174.9811327,343238932.36552685,Nonlinear IPPP
12194.672025634707,1777824791.0324254,467186324.6086337,Nonlinear IPPP
13936.768029296807,1981343431.799003,610202546.4276031,Nonlinear IPPP
15678.86403295891,2175672998.7473865,772287597.8224355,Nonlinear IPPP
17420.96003662101,2645162203.529546,953441478.7931302,Nonlinear IPPP
19163.05604028311,2910449832.0872264,1153664189.3396873,Nonlinear IPPP
20905.15204394521,3197935362.592807,1372955729.462107,Nonlinear IPPP
22647.248047607314,3609947727.8624105,1611316099.1603901,Nonlinear IPPP
24389.344051269414,4033461672.037397,1868745298.4345348,Nonlinear IPPP
26131.440054931514,4469008374.826699,2145243327.2845426,Nonlinear IPPP
27873.536058593618,4824571770.270687,2440810185.7104135,Nonlinear IPPP
29615.632062255718,5089796307.392788,2755445873.712146,Nonlinear IPPP
31357.728065917818,5892274668.258871,3089150391.2897415,Nonlinear IPPP
33099.824069579925,6479018349.268998,3441923738.4432006,Nonlinear IPPP
34841.92007324202,6917632005.701518,3813765915.1725206,Nonlinear IPPP
36584.016076904125,7505641962.782167,4204676921.4777045,Nonlinear IPPP
38326.11208056623,8113158053.6636715,4614656757.358751,Nonlinear IPPP
40068.208084228325,8517889230.489227,5043705422.815659,Nonlinear IPPP
41810.30408789043,9318702623.208616,5491822917.84843,Nonlinear IPPP
43552.40009155253,10456393406.92312,5959009242.457065,Nonlinear IPPP
45294.49609521463,11157641506.209503,6445264396.641561,Nonlinear IPPP
47036.59209887673,11720135466.521408,6950588380.40192,Nonlinear IPPP
48778.688102538836,12334357658.986012,7474981193.738142,Nonlinear IPPP
50520.78410620093,12875916676.027767,8018442836.650225,Nonlinear IPPP
52262.880109863036,13402851652.418194,8580973309.138172,Nonlinear IPPP
54004.97611352514,14031782291.077072,9162572611.201982,Nonlinear IPPP
55747.072117187236,14612243990.953474,9763240742.841654,Nonlinear IPPP
57489.16812084934,15329540183.310455,10382977704.057188,Nonlinear IPPP
59231.26412451144,16010796587.81371,11021783494.848587,Nonlinear IPPP
60973.36012817354,16738809224.306252,11679658115.215843,Nonlinear IPPP
62715.45613183564,17508473498.650253,12356601565.158968,Nonlinear IPPP
64457.552135497746,18133503450.828457,13052613844.677954,Nonlinear IPPP
66199.64813915984,18775238750.102337,13767694953.772797,Nonlinear IPPP
67941.74414282193,19640768238.973503,14501844892.443506,Nonlinear IPPP
69683.84014648404,20196207014.65622,15255063660.690083,Nonlinear IPPP
71425.93615014614,20708519994.270077,16027351258.512516,Nonlinear IPPP
73168.03215380824,21918353887.527798,16818707685.91081,Nonlinear IPPP
74910.12815747035,22488933139.41999,17629132942.884975,Nonlinear IPPP
76652.22416113244,23188340861.615658,18458627029.434998,Nonlinear IPPP
78394.32016479454,23609076684.543186,19307189945.56088,Nonlinear IPPP
80136.41616845665,24812556045.588913,20174821691.262634,Nonlinear IPPP
81878.51217211875,25391003821.214935,21061522266.54024,Nonlinear IPPP
83620.60817578084,26023295330.342373,21967291671.39371,Nonlinear IPPP
85362.70417944295,26811223794.697613,22892129905.823055,Nonlinear IPPP
87104.80018310505,27556927914.96318,23836036969.828247,Nonlinear IPPP
