simulation,total_count,observed_total,expected_total,model
1,646,825,665.6730111888704,Nonlinear IPPP
2,664,825,665.6730111888704,Nonlinear IPPP
3,659,825,665.6730111888704,Nonlinear IPPP
4,691,825,665.6730111888704,Nonlinear IPPP
5,673,825,665.6730111888704,Nonlinear IPPP
6,660,825,665.6730111888704,Nonlinear IPPP
7,643,825,665.6730111888704,Nonlinear IPPP
8,651,825,665.6730111888704,Nonlinear IPPP
9,679,825,665.6730111888704,Nonlinear IPPP
10,637,825,665.6730111888704,Nonlinear IPPP
11,672,825,665.6730111888704,Nonlinear IPPP
12,648,825,665.6730111888704,Nonlinear IPPP
13,651,825,665.6730111888704,Nonlinear IPPP
14,646,825,665.6730111888704,Nonlinear IPPP
15,656,825,665.6730111888704,Nonlinear IPPP
16,654,825,665.6730111888704,Nonlinear IPPP
17,663,825,665.6730111888704,Nonlinear IPPP
18,698,825,665.6730111888704,Nonlinear IPPP
19,620,825,665.6730111888704,Nonlinear IPPP
20,664,825,665.6730111888704,Nonlinear IPPP
21,653,825,665.6730111888704,Nonlinear IPPP
22,661,825,665.6730111888704,Nonlinear IPPP
23,629,825,665.6730111888704,Nonlinear IPPP
24,654,825,665.6730111888704,Nonlinear IPPP
25,629,825,665.6730111888704,Nonlinear IPPP
26,694,825,665.6730111888704,Nonlinear IPPP
27,595,825,665.6730111888704,Nonlinear IPPP
28,686,825,665.6730111888704,Nonlinear IPPP
29,704,825,665.6730111888704,Nonlinear IPPP
30,689,825,665.6730111888704,Nonlinear IPPP
31,666,825,665.6730111888704,Nonlinear IPPP
32,647,825,665.6730111888704,Nonlinear IPPP
33,672,825,665.6730111888704,Nonlinear IPPP
34,694,825,665.6730111888704,Nonlinear IPPP
35,666,825,665.6730111888704,Nonlinear IPPP
36,638,825,665.6730111888704,Nonlinear IPPP
37,682,825,665.6730111888704,Nonlinear IPPP
38,724,825,665.6730111888704,Nonlinear IPPP
39,643,825,665.6730111888704,Nonlinear IPPP
40,654,825,665.6730111888704,Nonlinear IPPP
41,683,825,665.6730111888704,Nonlinear IPPP
42,707,825,665.6730111888704,Nonlinear IPPP
43,678,825,665.6730111888704,Nonlinear IPPP
44,679,825,665.6730111888704,Nonlinear IPPP
45,676,825,665.6730111888704,Nonlinear IPPP
46,669,825,665.6730111888704,Nonlinear IPPP
47,666,825,665.6730111888704,Nonlinear IPPP
48,672,825,665.6730111888704,Nonlinear IPPP
49,658,825,665.6730111888704,Nonlinear IPPP
50,656,825,665.6730111888704,Nonlinear IPPP
51,733,825,665.6730111888704,Nonlinear IPPP
52,675,825,665.6730111888704,Nonlinear IPPP
53,637,825,665.6730111888704,Nonlinear IPPP
54,636,825,665.6730111888704,Nonlinear IPPP
55,637,825,665.6730111888704,Nonlinear IPPP
56,656,825,665.6730111888704,Nonlinear IPPP
57,695,825,665.6730111888704,Nonlinear IPPP
58,675,825,665.6730111888704,Nonlinear IPPP
59,660,825,665.6730111888704,Nonlinear IPPP
60,713,825,665.6730111888704,Nonlinear IPPP
61,624,825,665.6730111888704,Nonlinear IPPP
62,698,825,665.6730111888704,Nonlinear IPPP
63,681,825,665.6730111888704,Nonlinear IPPP
64,667,825,665.6730111888704,Nonlinear IPPP
65,655,825,665.6730111888704,Nonlinear IPPP
66,683,825,665.6730111888704,Nonlinear IPPP
67,621,825,665.6730111888704,Nonlinear IPPP
68,724,825,665.6730111888704,Nonlinear IPPP
69,654,825,665.6730111888704,Nonlinear IPPP
70,688,825,665.6730111888704,Nonlinear IPPP
71,655,825,665.6730111888704,Nonlinear IPPP
72,630,825,665.6730111888704,Nonlinear IPPP
73,613,825,665.6730111888704,Nonlinear IPPP
74,622,825,665.6730111888704,Nonlinear IPPP
75,675,825,665.6730111888704,Nonlinear IPPP
76,643,825,665.6730111888704,Nonlinear IPPP
77,676,825,665.6730111888704,Nonlinear IPPP
78,670,825,665.6730111888704,Nonlinear IPPP
79,711,825,665.6730111888704,Nonlinear IPPP
80,680,825,665.6730111888704,Nonlinear IPPP
81,609,825,665.6730111888704,Nonlinear IPPP
82,650,825,665.6730111888704,Nonlinear IPPP
83,674,825,665.6730111888704,Nonlinear IPPP
84,663,825,665.6730111888704,Nonlinear IPPP
85,650,825,665.6730111888704,Nonlinear IPPP
86,659,825,665.6730111888704,Nonlinear IPPP
87,689,825,665.6730111888704,Nonlinear IPPP
88,683,825,665.6730111888704,Nonlinear IPPP
89,674,825,665.6730111888704,Nonlinear IPPP
90,701,825,665.6730111888704,Nonlinear IPPP
91,683,825,665.6730111888704,Nonlinear IPPP
92,679,825,665.6730111888704,Nonlinear IPPP
93,675,825,665.6730111888704,Nonlinear IPPP
94,610,825,665.6730111888704,Nonlinear IPPP
95,660,825,665.6730111888704,Nonlinear IPPP
96,730,825,665.6730111888704,Nonlinear IPPP
97,671,825,665.6730111888704,Nonlinear IPPP
98,677,825,665.6730111888704,Nonlinear IPPP
99,706,825,665.6730111888704,Nonlinear IPPP
100,682,825,665.6730111888704,Nonlinear IPPP
101,654,825,665.6730111888704,Nonlinear IPPP
102,651,825,665.6730111888704,Nonlinear IPPP
103,674,825,665.6730111888704,Nonlinear IPPP
104,632,825,665.6730111888704,Nonlinear IPPP
105,695,825,665.6730111888704,Nonlinear IPPP
106,660,825,665.6730111888704,Nonlinear IPPP
107,648,825,665.6730111888704,Nonlinear IPPP
108,675,825,665.6730111888704,Nonlinear IPPP
109,640,825,665.6730111888704,Nonlinear IPPP
110,653,825,665.6730111888704,Nonlinear IPPP
111,644,825,665.6730111888704,Nonlinear IPPP
112,650,825,665.6730111888704,Nonlinear IPPP
113,667,825,665.6730111888704,Nonlinear IPPP
114,695,825,665.6730111888704,Nonlinear IPPP
115,639,825,665.6730111888704,Nonlinear IPPP
116,649,825,665.6730111888704,Nonlinear IPPP
117,684,825,665.6730111888704,Nonlinear IPPP
118,642,825,665.6730111888704,Nonlinear IPPP
