radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,577092636.6542798,9534414.787931299,Linear IPPP
3484.1920073242018,723672047.7925168,38137659.151725195,Linear IPPP
5226.288010986304,859293965.7974169,85809733.09138171,Linear IPPP
6968.384014648404,1137650305.692695,152550636.60690084,Linear IPPP
8710.480018310505,1516200454.4642818,238360369.69828254,Linear IPPP
10452.576021972607,1912635867.5780277,343238932.36552685,Linear IPPP
12194.672025634707,2429250567.8485394,467186324.6086337,Linear IPPP
13936.768029296807,2885882178.61761,610202546.4276031,Linear IPPP
15678.86403295891,3341463181.248108,772287597.8224355,Linear IPPP
17420.96003662101,3939149381.8771086,953441478.7931302,Linear IPPP
19163.05604028311,4510012432.59364,1153664189.3396873,Linear IPPP
20905.15204394521,5037074559.099366,1372955729.462107,Linear IPPP
22647.248047607314,5547627725.5967245,1611316099.1603901,Linear IPPP
24389.344051269414,6118752386.670317,1868745298.4345348,Linear IPPP
26131.440054931514,6686740004.225873,2145243327.2845426,Linear IPPP
27873.536058593618,7251747774.723948,2440810185.7104135,Linear IPPP
29615.632062255718,7900327998.307212,2755445873.712146,Linear IPPP
31357.728065917818,8550997753.528308,3089150391.2897415,Linear IPPP
33099.824069579925,9250454607.254602,3441923738.4432006,Linear IPPP
34841.92007324202,9937285547.200876,3813765915.1725206,Linear IPPP
36584.016076904125,10795251107.499609,4204676921.4777045,Linear IPPP
38326.11208056623,11548024621.436945,4614656757.358751,Linear IPPP
40068.208084228325,12203118725.674234,5043705422.815659,Linear IPPP
41810.30408789043,12972143877.000141,5491822917.84843,Linear IPPP
43552.40009155253,13776026887.274534,5959009242.457065,Linear IPPP
45294.49609521463,14477801253.53225,6445264396.641561,Linear IPPP
47036.59209887673,15121047154.093988,6950588380.40192,Linear IPPP
48778.688102538836,15980785865.727839,7474981193.738142,Linear IPPP
50520.78410620093,16653097048.721138,8018442836.650225,Linear IPPP
52262.880109863036,17190197849.274555,8580973309.138172,Linear IPPP
54004.97611352514,17773267720.93454,9162572611.201982,Linear IPPP
55747.072117187236,18372847600.408928,9763240742.841654,Linear IPPP
57489.16812084934,18959816431.07735,10382977704.057188,Linear IPPP
59231.26412451144,19615087679.187984,11021783494.848587,Linear IPPP
60973.36012817354,20127998966.74526,11679658115.215843,Linear IPPP
62715.45613183564,20838493483.387234,12356601565.158968,Linear IPPP
64457.552135497746,21342781362.187126,13052613844.677954,Linear IPPP
66199.64813915984,21887255271.20595,13767694953.772797,Linear IPPP
67941.74414282193,22442952604.570557,14501844892.443506,Linear IPPP
69683.84014648404,22907999257.08431,15255063660.690083,Linear IPPP
71425.93615014614,23300642773.74867,16027351258.512516,Linear IPPP
73168.03215380824,23742497023.88407,16818707685.91081,Linear IPPP
74910.12815747035,24201033427.25745,17629132942.884975,Linear IPPP
76652.22416113244,24595980819.38694,18458627029.434998,Linear IPPP
78394.32016479454,24915276775.27523,19307189945.56088,Linear IPPP
80136.41616845665,25331934451.16858,20174821691.262634,Linear IPPP
81878.51217211875,25763987629.180088,21061522266.54024,Linear IPPP
83620.60817578084,26115382703.637577,21967291671.39371,Linear IPPP
85362.70417944295,26493484346.64164,22892129905.823055,Linear IPPP
87104.80018310505,26862842622.229916,23836036969.828247,Linear IPPP
