radius,K_inhom,Poisson_theoretical,model
1742.0960036621009,937052894.7828634,9534414.787931299,Nonlinear IPPP
3484.1920073242018,1023786216.0247664,38137659.151725195,Nonlinear IPPP
5226.288010986304,1111533396.1428785,85809733.09138171,Nonlinear IPPP
6968.384014648404,1194547201.6087337,152550636.60690084,Nonlinear IPPP
8710.480018310505,1363322016.1259935,238360369.69828254,Nonlinear IPPP
10452.576021972607,1486396350.428955,343238932.36552685,Nonlinear IPPP
12194.672025634707,1777021698.950411,467186324.6086337,Nonlinear IPPP
13936.768029296807,1980841812.89821,610202546.4276031,Nonlinear IPPP
15678.86403295891,2175039480.469974,772287597.8224355,Nonlinear IPPP
17420.96003662101,2644357002.5088034,953441478.7931302,Nonlinear IPPP
19163.05604028311,2909526220.531489,1153664189.3396873,Nonlinear IPPP
20905.15204394521,3197544065.68652,1372955729.462107,Nonlinear IPPP
22647.248047607314,3609476057.869961,1611316099.1603901,Nonlinear IPPP
24389.344051269414,4033181912.267461,1868745298.4345348,Nonlinear IPPP
26131.440054931514,4468351255.26407,2145243327.2845426,Nonlinear IPPP
27873.536058593618,4823934957.22236,2440810185.7104135,Nonlinear IPPP
29615.632062255718,5089127176.048791,2755445873.712146,Nonlinear IPPP
31357.728065917818,5891353869.405934,3089150391.2897415,Nonlinear IPPP
33099.824069579925,6479180093.861225,3441923738.4432006,Nonlinear IPPP
34841.92007324202,6917538063.931785,3813765915.1725206,Nonlinear IPPP
36584.016076904125,7505686508.040627,4204676921.4777045,Nonlinear IPPP
38326.11208056623,8113366467.128308,4614656757.358751,Nonlinear IPPP
40068.208084228325,8518285364.768222,5043705422.815659,Nonlinear IPPP
41810.30408789043,9318822184.154015,5491822917.84843,Nonlinear IPPP
43552.40009155253,10454963490.6586,5959009242.457065,Nonlinear IPPP
45294.49609521463,11156762490.77453,6445264396.641561,Nonlinear IPPP
47036.59209887673,11719251952.009672,6950588380.40192,Nonlinear IPPP
48778.688102538836,12333303523.615223,7474981193.738142,Nonlinear IPPP
50520.78410620093,12875281199.139046,8018442836.650225,Nonlinear IPPP
52262.880109863036,13402903430.444754,8580973309.138172,Nonlinear IPPP
54004.97611352514,14031735386.115297,9162572611.201982,Nonlinear IPPP
55747.072117187236,14612370057.677097,9763240742.841654,Nonlinear IPPP
57489.16812084934,15329933820.734169,10382977704.057188,Nonlinear IPPP
59231.26412451144,16011686595.845276,11021783494.848587,Nonlinear IPPP
60973.36012817354,16739864826.16953,11679658115.215843,Nonlinear IPPP
62715.45613183564,17510267109.377884,12356601565.158968,Nonlinear IPPP
64457.552135497746,18135364497.884197,13052613844.677954,Nonlinear IPPP
66199.64813915984,18776707724.065243,13767694953.772797,Nonlinear IPPP
67941.74414282193,19642764754.720634,14501844892.443506,Nonlinear IPPP
69683.84014648404,20198405643.80479,15255063660.690083,Nonlinear IPPP
71425.93615014614,20710720308.243557,16027351258.512516,Nonlinear IPPP
73168.03215380824,21919676952.71477,16818707685.91081,Nonlinear IPPP
74910.12815747035,22490256364.69161,17629132942.884975,Nonlinear IPPP
76652.22416113244,23188948857.138783,18458627029.434998,Nonlinear IPPP
78394.32016479454,23609542439.659626,19307189945.56088,Nonlinear IPPP
80136.41616845665,24811279057.076122,20174821691.262634,Nonlinear IPPP
81878.51217211875,25389397237.794823,21061522266.54024,Nonlinear IPPP
83620.60817578084,26021396690.89468,21967291671.39371,Nonlinear IPPP
85362.70417944295,26809589631.20422,22892129905.823055,Nonlinear IPPP
87104.80018310505,27555623027.327923,23836036969.828247,Nonlinear IPPP
