simulation,total_count,observed_total,expected_total,model
1,635,825,665.6730111888704,Nonlinear IPPP
2,693,825,665.6730111888704,Nonlinear IPPP
3,695,825,665.6730111888704,Nonlinear IPPP
4,664,825,665.6730111888704,Nonlinear IPPP
5,682,825,665.6730111888704,Nonlinear IPPP
6,685,825,665.6730111888704,Nonlinear IPPP
7,666,825,665.6730111888704,Nonlinear IPPP
8,684,825,665.6730111888704,Nonlinear IPPP
9,680,825,665.6730111888704,Nonlinear IPPP
10,638,825,665.6730111888704,Nonlinear IPPP
11,639,825,665.6730111888704,Nonlinear IPPP
12,637,825,665.6730111888704,Nonlinear IPPP
13,669,825,665.6730111888704,Nonlinear IPPP
14,669,825,665.6730111888704,Nonlinear IPPP
15,673,825,665.6730111888704,Nonlinear IPPP
16,676,825,665.6730111888704,Nonlinear IPPP
17,612,825,665.6730111888704,Nonlinear IPPP
18,663,825,665.6730111888704,Nonlinear IPPP
19,657,825,665.6730111888704,Nonlinear IPPP
20,672,825,665.6730111888704,Nonlinear IPPP
21,667,825,665.6730111888704,Nonlinear IPPP
22,638,825,665.6730111888704,Nonlinear IPPP
23,663,825,665.6730111888704,Nonlinear IPPP
24,658,825,665.6730111888704,Nonlinear IPPP
25,640,825,665.6730111888704,Nonlinear IPPP
26,675,825,665.6730111888704,Nonlinear IPPP
27,612,825,665.6730111888704,Nonlinear IPPP
28,665,825,665.6730111888704,Nonlinear IPPP
29,654,825,665.6730111888704,Nonlinear IPPP
30,708,825,665.6730111888704,Nonlinear IPPP
31,698,825,665.6730111888704,Nonlinear IPPP
32,646,825,665.6730111888704,Nonlinear IPPP
33,667,825,665.6730111888704,Nonlinear IPPP
34,710,825,665.6730111888704,Nonlinear IPPP
35,703,825,665.6730111888704,Nonlinear IPPP
36,635,825,665.6730111888704,Nonlinear IPPP
37,679,825,665.6730111888704,Nonlinear IPPP
38,680,825,665.6730111888704,Nonlinear IPPP
39,625,825,665.6730111888704,Nonlinear IPPP
40,697,825,665.6730111888704,Nonlinear IPPP
41,664,825,665.6730111888704,Nonlinear IPPP
42,669,825,665.6730111888704,Nonlinear IPPP
43,610,825,665.6730111888704,Nonlinear IPPP
44,607,825,665.6730111888704,Nonlinear IPPP
45,669,825,665.6730111888704,Nonlinear IPPP
46,652,825,665.6730111888704,Nonlinear IPPP
47,587,825,665.6730111888704,Nonlinear IPPP
48,687,825,665.6730111888704,Nonlinear IPPP
49,656,825,665.6730111888704,Nonlinear IPPP
50,630,825,665.6730111888704,Nonlinear IPPP
51,686,825,665.6730111888704,Nonlinear IPPP
52,710,825,665.6730111888704,Nonlinear IPPP
53,676,825,665.6730111888704,Nonlinear IPPP
54,622,825,665.6730111888704,Nonlinear IPPP
55,640,825,665.6730111888704,Nonlinear IPPP
56,663,825,665.6730111888704,Nonlinear IPPP
57,646,825,665.6730111888704,Nonlinear IPPP
58,681,825,665.6730111888704,Nonlinear IPPP
59,671,825,665.6730111888704,Nonlinear IPPP
60,723,825,665.6730111888704,Nonlinear IPPP
61,683,825,665.6730111888704,Nonlinear IPPP
62,689,825,665.6730111888704,Nonlinear IPPP
63,683,825,665.6730111888704,Nonlinear IPPP
64,654,825,665.6730111888704,Nonlinear IPPP
65,671,825,665.6730111888704,Nonlinear IPPP
66,653,825,665.6730111888704,Nonlinear IPPP
67,594,825,665.6730111888704,Nonlinear IPPP
68,670,825,665.6730111888704,Nonlinear IPPP
69,669,825,665.6730111888704,Nonlinear IPPP
70,692,825,665.6730111888704,Nonlinear IPPP
71,682,825,665.6730111888704,Nonlinear IPPP
72,630,825,665.6730111888704,Nonlinear IPPP
73,696,825,665.6730111888704,Nonlinear IPPP
74,661,825,665.6730111888704,Nonlinear IPPP
75,714,825,665.6730111888704,Nonlinear IPPP
76,677,825,665.6730111888704,Nonlinear IPPP
77,699,825,665.6730111888704,Nonlinear IPPP
78,690,825,665.6730111888704,Nonlinear IPPP
79,703,825,665.6730111888704,Nonlinear IPPP
80,630,825,665.6730111888704,Nonlinear IPPP
81,635,825,665.6730111888704,Nonlinear IPPP
82,648,825,665.6730111888704,Nonlinear IPPP
83,711,825,665.6730111888704,Nonlinear IPPP
84,673,825,665.6730111888704,Nonlinear IPPP
85,637,825,665.6730111888704,Nonlinear IPPP
86,659,825,665.6730111888704,Nonlinear IPPP
87,674,825,665.6730111888704,Nonlinear IPPP
88,652,825,665.6730111888704,Nonlinear IPPP
89,639,825,665.6730111888704,Nonlinear IPPP
90,678,825,665.6730111888704,Nonlinear IPPP
91,646,825,665.6730111888704,Nonlinear IPPP
92,654,825,665.6730111888704,Nonlinear IPPP
93,653,825,665.6730111888704,Nonlinear IPPP
94,605,825,665.6730111888704,Nonlinear IPPP
95,695,825,665.6730111888704,Nonlinear IPPP
96,645,825,665.6730111888704,Nonlinear IPPP
97,637,825,665.6730111888704,Nonlinear IPPP
98,679,825,665.6730111888704,Nonlinear IPPP
99,713,825,665.6730111888704,Nonlinear IPPP
