simulation,total_count,observed_total,expected_total,model
1,797,825,825.0001395620995,Linear IPPP
2,836,825,825.0001395620995,Linear IPPP
3,864,825,825.0001395620995,Linear IPPP
4,811,825,825.0001395620995,Linear IPPP
5,857,825,825.0001395620995,Linear IPPP
6,817,825,825.0001395620995,Linear IPPP
7,802,825,825.0001395620995,Linear IPPP
8,855,825,825.0001395620995,Linear IPPP
9,846,825,825.0001395620995,Linear IPPP
10,809,825,825.0001395620995,Linear IPPP
11,793,825,825.0001395620995,Linear IPPP
12,822,825,825.0001395620995,Linear IPPP
13,844,825,825.0001395620995,Linear IPPP
14,859,825,825.0001395620995,Linear IPPP
15,841,825,825.0001395620995,Linear IPPP
16,828,825,825.0001395620995,Linear IPPP
17,830,825,825.0001395620995,Linear IPPP
18,878,825,825.0001395620995,Linear IPPP
19,813,825,825.0001395620995,Linear IPPP
20,821,825,825.0001395620995,Linear IPPP
21,829,825,825.0001395620995,Linear IPPP
22,860,825,825.0001395620995,Linear IPPP
23,843,825,825.0001395620995,Linear IPPP
24,805,825,825.0001395620995,Linear IPPP
25,833,825,825.0001395620995,Linear IPPP
26,822,825,825.0001395620995,Linear IPPP
27,816,825,825.0001395620995,Linear IPPP
28,795,825,825.0001395620995,Linear IPPP
29,816,825,825.0001395620995,Linear IPPP
30,794,825,825.0001395620995,Linear IPPP
31,870,825,825.0001395620995,Linear IPPP
32,809,825,825.0001395620995,Linear IPPP
33,801,825,825.0001395620995,Linear IPPP
34,811,825,825.0001395620995,Linear IPPP
35,780,825,825.0001395620995,Linear IPPP
36,796,825,825.0001395620995,Linear IPPP
37,834,825,825.0001395620995,Linear IPPP
38,812,825,825.0001395620995,Linear IPPP
39,804,825,825.0001395620995,Linear IPPP
40,816,825,825.0001395620995,Linear IPPP
41,801,825,825.0001395620995,Linear IPPP
42,794,825,825.0001395620995,Linear IPPP
43,825,825,825.0001395620995,Linear IPPP
44,837,825,825.0001395620995,Linear IPPP
45,840,825,825.0001395620995,Linear IPPP
46,861,825,825.0001395620995,Linear IPPP
47,832,825,825.0001395620995,Linear IPPP
48,843,825,825.0001395620995,Linear IPPP
49,824,825,825.0001395620995,Linear IPPP
50,846,825,825.0001395620995,Linear IPPP
51,812,825,825.0001395620995,Linear IPPP
52,791,825,825.0001395620995,Linear IPPP
53,798,825,825.0001395620995,Linear IPPP
54,817,825,825.0001395620995,Linear IPPP
55,809,825,825.0001395620995,Linear IPPP
56,780,825,825.0001395620995,Linear IPPP
57,858,825,825.0001395620995,Linear IPPP
58,851,825,825.0001395620995,Linear IPPP
59,799,825,825.0001395620995,Linear IPPP
60,821,825,825.0001395620995,Linear IPPP
61,864,825,825.0001395620995,Linear IPPP
62,824,825,825.0001395620995,Linear IPPP
63,831,825,825.0001395620995,Linear IPPP
64,867,825,825.0001395620995,Linear IPPP
65,856,825,825.0001395620995,Linear IPPP
66,825,825,825.0001395620995,Linear IPPP
67,822,825,825.0001395620995,Linear IPPP
68,783,825,825.0001395620995,Linear IPPP
69,830,825,825.0001395620995,Linear IPPP
70,827,825,825.0001395620995,Linear IPPP
71,798,825,825.0001395620995,Linear IPPP
72,796,825,825.0001395620995,Linear IPPP
73,819,825,825.0001395620995,Linear IPPP
74,850,825,825.0001395620995,Linear IPPP
75,793,825,825.0001395620995,Linear IPPP
76,826,825,825.0001395620995,Linear IPPP
77,828,825,825.0001395620995,Linear IPPP
78,868,825,825.0001395620995,Linear IPPP
79,840,825,825.0001395620995,Linear IPPP
80,794,825,825.0001395620995,Linear IPPP
81,814,825,825.0001395620995,Linear IPPP
82,879,825,825.0001395620995,Linear IPPP
83,862,825,825.0001395620995,Linear IPPP
84,823,825,825.0001395620995,Linear IPPP
85,872,825,825.0001395620995,Linear IPPP
86,841,825,825.0001395620995,Linear IPPP
87,797,825,825.0001395620995,Linear IPPP
88,864,825,825.0001395620995,Linear IPPP
89,806,825,825.0001395620995,Linear IPPP
90,826,825,825.0001395620995,Linear IPPP
91,819,825,825.0001395620995,Linear IPPP
92,832,825,825.0001395620995,Linear IPPP
93,807,825,825.0001395620995,Linear IPPP
94,830,825,825.0001395620995,Linear IPPP
95,864,825,825.0001395620995,Linear IPPP
96,828,825,825.0001395620995,Linear IPPP
97,862,825,825.0001395620995,Linear IPPP
98,783,825,825.0001395620995,Linear IPPP
99,868,825,825.0001395620995,Linear IPPP
100,767,825,825.0001395620995,Linear IPPP
101,827,825,825.0001395620995,Linear IPPP
102,766,825,825.0001395620995,Linear IPPP
103,822,825,825.0001395620995,Linear IPPP
104,802,825,825.0001395620995,Linear IPPP
105,806,825,825.0001395620995,Linear IPPP
106,823,825,825.0001395620995,Linear IPPP
107,778,825,825.0001395620995,Linear IPPP
108,841,825,825.0001395620995,Linear IPPP
109,846,825,825.0001395620995,Linear IPPP
110,811,825,825.0001395620995,Linear IPPP
111,789,825,825.0001395620995,Linear IPPP
112,852,825,825.0001395620995,Linear IPPP
113,834,825,825.0001395620995,Linear IPPP
114,821,825,825.0001395620995,Linear IPPP
115,826,825,825.0001395620995,Linear IPPP
116,821,825,825.0001395620995,Linear IPPP
117,848,825,825.0001395620995,Linear IPPP
118,815,825,825.0001395620995,Linear IPPP
119,840,825,825.0001395620995,Linear IPPP
120,869,825,825.0001395620995,Linear IPPP
121,878,825,825.0001395620995,Linear IPPP
122,880,825,825.0001395620995,Linear IPPP
123,808,825,825.0001395620995,Linear IPPP
124,789,825,825.0001395620995,Linear IPPP
125,773,825,825.0001395620995,Linear IPPP
126,807,825,825.0001395620995,Linear IPPP
127,847,825,825.0001395620995,Linear IPPP
128,849,825,825.0001395620995,Linear IPPP
129,872,825,825.0001395620995,Linear IPPP
130,837,825,825.0001395620995,Linear IPPP
131,828,825,825.0001395620995,Linear IPPP
132,827,825,825.0001395620995,Linear IPPP
133,811,825,825.0001395620995,Linear IPPP
