model,species_key,common_name,scientific_name,rows,trials,detections,positive_locality_seasons,observed_detection_rate,mean_predicted_detection_rate,calibration_error,weighted_bce,positive_triplet_auroc,positive_triplet_auprc
train_prevalence,avibase-00124D98,Mourning Dove,Zenaida macroura,36,596,315,29,0.5285234899328859,0.451200008392334,0.07732348154055191,0.7035184541641711,0.5,0.8290474145505454
train_prevalence,avibase-00635FF9,Pileated Woodpecker,Dryocopus pileatus,36,596,141,27,0.23657718120805368,0.2133333384990692,0.02324384270898447,0.5486717591079028,0.5,0.7211208989868885
train_prevalence,avibase-043F337A,Indigo Bunting,Passerina cyanea,36,596,48,12,0.08053691275167785,0.11946666985750198,0.038929757105824137,0.2880992050932906,0.5,0.3380284857346878
train_prevalence,avibase-05FF3C9B,Dark-eyed Junco,Junco hyemalis,36,596,75,12,0.12583892617449666,0.07146666944026947,0.05437225673422719,0.39684721026691555,0.5,0.5847415831761182
train_prevalence,avibase-0716A71C,Red-breasted Nuthatch,Sitta canadensis,36,596,4,4,0.006711409395973154,0.04106666520237923,0.034355255806406075,0.06307885493562221,0.5,0.11350806451612903
train_prevalence,avibase-078557F2,Red-bellied Woodpecker,Melanerpes carolinus,36,596,347,31,0.5822147651006712,0.5578666925430298,0.024348072557641376,0.680773905122759,0.5,0.9706531810124747
train_prevalence,avibase-082D833C,Eastern Kingbird,Tyrannus tyrannus,36,596,8,5,0.013422818791946308,0.019200000911951065,0.005777182120004757,0.07218481188061028,0.5,0.09828197945845005
train_prevalence,avibase-0CF12F81,Yellow-billed Cuckoo,Coccyzus americanus,36,596,16,4,0.026845637583892617,0.06666667014360428,0.03982103255971166,0.13984005034609154,0.5,0.1899496336996337
train_prevalence,avibase-1327AC55,Osprey,Pandion haliaetus,36,596,6,4,0.010067114093959731,0.012266666628420353,0.002199552534460622,0.05652232721101019,0.5,0.10036713286713286
train_prevalence,avibase-136451CF,Yellow-throated Warbler,Setophaga dominica,36,596,53,10,0.08892617449664429,0.06666667014360428,0.022259504353040013,0.3036741428431193,0.5,0.29419071669071667
train_prevalence,avibase-154BCCAE,Golden-crowned Kinglet,Regulus satrapa,36,596,101,17,0.16946308724832215,0.13973332941532135,0.029729757833000803,0.45851313643416736,0.5,0.6161799937552361
train_prevalence,avibase-15EB3000,Hooded Warbler,Setophaga citrina,36,596,18,9,0.030201342281879196,0.04213333502411842,0.011931992742239227,0.1373917389266682,0.5,0.20037205661019702
train_prevalence,avibase-19CCBBD2,White-breasted Nuthatch,Sitta carolinensis,36,596,280,25,0.4697986577181208,0.3333333432674408,0.13646531445068,0.7311047170358516,0.5,0.6835751977620841
train_prevalence,avibase-1B2A6386,Downy Woodpecker,Dryobates pubescens,36,596,303,30,0.5083892617449665,0.4485333263874054,0.05985593535756106,0.7002062905772243,0.5,0.8444376955263402
train_prevalence,avibase-1DA430B8,Blue Jay,Cyanocitta cristata,36,596,291,30,0.48825503355704697,0.4485333263874054,0.039721707169641574,0.6960465907817208,0.5,0.831500120480441
train_prevalence,avibase-1E1AB415,Brown-headed Cowbird,Molothrus ater,36,596,69,16,0.11577181208053691,0.14773333072662354,0.03196151864608662,0.36274482616420584,0.5,0.3903057729100728
train_prevalence,avibase-23863F65,Ring-billed Gull,Larus delawarensis,36,596,19,7,0.031879194630872486,0.030400000512599945,0.0014791941182725407,0.14125149439833393,0.5,0.4653884542322676
train_prevalence,avibase-240E3390,House Sparrow,Passer domesticus,36,596,6,5,0.010067114093959731,0.04586666822433472,0.035799554130374986,0.07750619966587528,0.5,0.2043374925727867
train_prevalence,avibase-2778A3F4,Acadian Flycatcher,Empidonax virescens,36,596,49,7,0.08221476510067115,0.09973333030939102,0.017518565208719875,0.2859524536934368,0.5,0.2933267832744786
train_prevalence,avibase-27B2749A,Wood Duck,Aix sponsa,36,596,19,12,0.031879194630872486,0.05973333492875099,0.027854140297878506,0.14945953013838406,0.5,0.31784238999925274
train_prevalence,avibase-2C1981BB,Northern Rough-winged Swallow,Stelgidopteryx serripennis,36,596,17,7,0.028523489932885907,0.04479999840259552,0.016276508469709614,0.13310821737161446,0.5,0.14483441861593122
train_prevalence,avibase-3558066B,Belted Kingfisher,Megaceryle alcyon,36,596,43,16,0.07214765100671142,0.08266666531562805,0.010519014308916635,0.25991883397033533,0.5,0.44857658825732233
train_prevalence,avibase-36B3872D,Turkey Vulture,Cathartes aura,36,596,156,29,0.26174496644295303,0.30773332715034485,0.04598836070739182,0.5799905337619822,0.5,0.9109126071590158
train_prevalence,avibase-37E9CCDA,Chipping Sparrow,Spizella passerina,36,596,125,14,0.20973154362416108,0.20160000026226044,0.00813154336190064,0.5138041506159373,0.5,0.4764558939517837
train_prevalence,avibase-39BD9FF2,White-throated Sparrow,Zonotrichia albicollis,36,596,181,20,0.3036912751677852,0.2693333327770233,0.0343579423907619,0.616884117176065,0.5,0.5698523758258413
train_prevalence,avibase-3AC46C54,Double-crested Cormorant,Nannopterum auritum,36,596,16,7,0.026845637583892617,0.07253333181142807,0.04568769422753545,0.14371213116745687,0.5,0.5779883692607477
